accuracy_average_vl,accuracy_sd_vl,average_tr_error_best_vl,learning_rate,regularization,momentum,activation_hidden,weight_init,topology
0.4613906,0.00409788,0.26970488,0.01,0,0,<class 'activation_function.Relu'>,<function xavier_initializer at 0x7efcfadb2940>,"(15,)"
0.46740252,0.01301387,0.27903619,0.01,0,0,<class 'activation_function.TanH'>,<function xavier_initializer at 0x7efcfadb2940>,"(15,)"
0.39308581,0.0077762,0.21556583,0.01,0,0,<class 'activation_function.Relu'>,<function xavier_initializer at 0x7efcfadb2940>,"(10, 10)"
0.45622646,0.00424771,0.2639949,0.01,0,0,<class 'activation_function.TanH'>,<function xavier_initializer at 0x7efcfadb2940>,"(20, 20)"
0.46543615,0.00615135,0.27447624,0.01,0,0,<class 'activation_function.TanH'>,<function xavier_initializer at 0x7efcfadb2940>,"(10, 10)"
0.39911649,0.01097446,0.20873956,0.01,0,0,<class 'activation_function.Relu'>,<function xavier_initializer at 0x7efcfadb2940>,"(20, 20)"
0.47326516,0.0092473,0.28957208,0.01,0,0,<class 'activation_function.TanH'>,<function he_initializer at 0x7efcfadb29d0>,"(10, 10)"
0.47522807,0.00869203,0.30063803,0.01,0,0,<class 'activation_function.TanH'>,<function he_initializer at 0x7efcfadb29d0>,"(20, 20)"
0.53076601,0.0124816,0.3548509,0.01,0,0,<class 'activation_function.TanH'>,<function he_initializer at 0x7efcfadb29d0>,"(15,)"
0.48167792,0.01287498,0.29825831,0.01,0,0,<class 'activation_function.Relu'>,<function he_initializer at 0x7efcfadb29d0>,"(15,)"
0.42895373,0.01308928,0.24897968,0.01,0,0,<class 'activation_function.Relu'>,<function he_initializer at 0x7efcfadb29d0>,"(20, 20)"
0.45030065,0.01188026,0.25821718,0.01,0,0,<class 'activation_function.Relu'>,<function he_initializer at 0x7efcfadb29d0>,"(10, 10)"
0.43811368,0.01075431,0.24792293,0.01,0,0.4,<class 'activation_function.TanH'>,<function xavier_initializer at 0x7efcfadb2940>,"(10, 10)"
0.44226571,0.00861505,0.2523527,0.01,0,0.4,<class 'activation_function.TanH'>,<function xavier_initializer at 0x7efcfadb2940>,"(15,)"
0.43453355,0.0093073,0.241292,0.01,0,0.4,<class 'activation_function.TanH'>,<function xavier_initializer at 0x7efcfadb2940>,"(20, 20)"
0.44730201,0.01004977,0.25930624,0.01,0,0.4,<class 'activation_function.Relu'>,<function xavier_initializer at 0x7efcfadb2940>,"(15,)"
0.41697389,0.00646615,0.23233567,0.01,0,0.4,<class 'activation_function.Relu'>,<function xavier_initializer at 0x7efcfadb2940>,"(10, 10)"
0.4017239,0.00540799,0.21698252,0.01,0,0.4,<class 'activation_function.Relu'>,<function xavier_initializer at 0x7efcfadb2940>,"(20, 20)"
0.4646611,0.00662508,0.27584577,0.01,0,0.4,<class 'activation_function.TanH'>,<function he_initializer at 0x7efcfadb29d0>,"(15,)"
0.51254263,0.00597767,0.32259651,0.01,0,0.4,<class 'activation_function.TanH'>,<function he_initializer at 0x7efcfadb29d0>,"(10, 10)"
0.46449946,0.00895681,0.27928157,0.01,0,0.4,<class 'activation_function.Relu'>,<function he_initializer at 0x7efcfadb29d0>,"(15,)"
0.44683731,0.00968233,0.26640744,0.01,0,0.4,<class 'activation_function.Relu'>,<function he_initializer at 0x7efcfadb29d0>,"(10, 10)"
0.44651597,0.01190607,0.25700694,0.01,0,0.4,<class 'activation_function.TanH'>,<function he_initializer at 0x7efcfadb29d0>,"(20, 20)"
0.39528103,0.01186526,0.20953894,0.01,0,0.4,<class 'activation_function.Relu'>,<function he_initializer at 0x7efcfadb29d0>,"(20, 20)"
0.44786586,0.00855127,0.25695112,0.01,0,0.8,<class 'activation_function.TanH'>,<function xavier_initializer at 0x7efcfadb2940>,"(10, 10)"
0.44110431,0.010209,0.25105822,0.01,0,0.8,<class 'activation_function.TanH'>,<function xavier_initializer at 0x7efcfadb2940>,"(15,)"
0.43471446,0.00923769,0.2442697,0.01,0,0.8,<class 'activation_function.Relu'>,<function xavier_initializer at 0x7efcfadb2940>,"(15,)"
0.42898928,0.00894662,0.2371847,0.01,0,0.8,<class 'activation_function.TanH'>,<function xavier_initializer at 0x7efcfadb2940>,"(20, 20)"
0.38958591,0.00599824,0.20708506,0.01,0,0.8,<class 'activation_function.Relu'>,<function xavier_initializer at 0x7efcfadb2940>,"(10, 10)"
0.35737206,0.0160854,0.17886864,0.01,0,0.8,<class 'activation_function.Relu'>,<function xavier_initializer at 0x7efcfadb2940>,"(20, 20)"
0.44615539,0.0158348,0.26320774,0.01,0,0.8,<class 'activation_function.TanH'>,<function he_initializer at 0x7efcfadb29d0>,"(10, 10)"
0.45393993,0.00615377,0.26465097,0.01,0,0.8,<class 'activation_function.Relu'>,<function he_initializer at 0x7efcfadb29d0>,"(10, 10)"
0.44684077,0.00356948,0.25587337,0.01,0,0.8,<class 'activation_function.Relu'>,<function he_initializer at 0x7efcfadb29d0>,"(15,)"
0.44636673,0.0127231,0.25468769,0.01,0,0.8,<class 'activation_function.TanH'>,<function he_initializer at 0x7efcfadb29d0>,"(15,)"
0.42199728,0.01398593,0.23451525,0.01,0,0.8,<class 'activation_function.TanH'>,<function he_initializer at 0x7efcfadb29d0>,"(20, 20)"
0.3949299,0.00777247,0.20570498,0.01,0,0.8,<class 'activation_function.Relu'>,<function he_initializer at 0x7efcfadb29d0>,"(20, 20)"
0.47060529,0.01152859,0.29108159,0.01,0.005,0,<class 'activation_function.TanH'>,<function xavier_initializer at 0x7efcfadb2940>,"(15,)"
0.65179686,0.01528133,0.54769274,0.01,0.005,0,<class 'activation_function.TanH'>,<function xavier_initializer at 0x7efcfadb2940>,"(10, 10)"
0.62002191,0.01501645,0.43423916,0.01,0.005,0,<class 'activation_function.TanH'>,<function xavier_initializer at 0x7efcfadb2940>,"(20, 20)"
0.69510316,0.01483536,0.60244039,0.01,0.005,0,<class 'activation_function.Relu'>,<function xavier_initializer at 0x7efcfadb2940>,"(10, 10)"
0.47250484,0.01192036,0.30131879,0.01,0.005,0,<class 'activation_function.Relu'>,<function xavier_initializer at 0x7efcfadb2940>,"(15,)"
0.47242837,0.01140672,0.30066391,0.01,0.005,0,<class 'activation_function.TanH'>,<function he_initializer at 0x7efcfadb29d0>,"(15,)"
0.64585321,0.01615803,0.50688794,0.01,0.005,0,<class 'activation_function.TanH'>,<function he_initializer at 0x7efcfadb29d0>,"(10, 10)"
0.65242322,0.015934,0.5344836,0.01,0.005,0,<class 'activation_function.Relu'>,<function xavier_initializer at 0x7efcfadb2940>,"(20, 20)"
0.61363671,0.01500192,0.40877853,0.01,0.005,0,<class 'activation_function.TanH'>,<function he_initializer at 0x7efcfadb29d0>,"(20, 20)"
0.47141656,0.01085475,0.29963025,0.01,0.005,0,<class 'activation_function.Relu'>,<function he_initializer at 0x7efcfadb29d0>,"(15,)"
0.64843475,0.01564224,0.50709063,0.01,0.005,0,<class 'activation_function.Relu'>,<function he_initializer at 0x7efcfadb29d0>,"(10, 10)"
0.56504525,0.01326933,0.43076142,0.01,0.005,0.4,<class 'activation_function.TanH'>,<function xavier_initializer at 0x7efcfadb2940>,"(10, 10)"
0.64254826,0.01595666,0.40414099,0.01,0.005,0,<class 'activation_function.Relu'>,<function he_initializer at 0x7efcfadb29d0>,"(20, 20)"
0.45630474,0.01101919,0.27861696,0.01,0.005,0.4,<class 'activation_function.TanH'>,<function xavier_initializer at 0x7efcfadb2940>,"(15,)"
0.45751123,0.01106209,0.27969641,0.01,0.005,0.4,<class 'activation_function.Relu'>,<function xavier_initializer at 0x7efcfadb2940>,"(15,)"
0.54896426,0.01216349,0.37340276,0.01,0.005,0.4,<class 'activation_function.TanH'>,<function xavier_initializer at 0x7efcfadb2940>,"(20, 20)"
0.52319541,0.01122553,0.36135878,0.01,0.005,0.4,<class 'activation_function.Relu'>,<function xavier_initializer at 0x7efcfadb2940>,"(10, 10)"
0.53627791,0.01088929,0.3782017,0.01,0.005,0.4,<class 'activation_function.Relu'>,<function xavier_initializer at 0x7efcfadb2940>,"(20, 20)"
0.4564774,0.01086882,0.2787424,0.01,0.005,0.4,<class 'activation_function.TanH'>,<function he_initializer at 0x7efcfadb29d0>,"(15,)"
0.547365,0.01394221,0.34245714,0.01,0.005,0.4,<class 'activation_function.TanH'>,<function he_initializer at 0x7efcfadb29d0>,"(20, 20)"
0.4562565,0.01120995,0.27844575,0.01,0.005,0.4,<class 'activation_function.Relu'>,<function he_initializer at 0x7efcfadb29d0>,"(15,)"
0.55891316,0.01302018,0.38199376,0.01,0.005,0.4,<class 'activation_function.TanH'>,<function he_initializer at 0x7efcfadb29d0>,"(10, 10)"
0.56362822,0.01107936,0.41078964,0.01,0.005,0.4,<class 'activation_function.Relu'>,<function he_initializer at 0x7efcfadb29d0>,"(10, 10)"
0.4486776,0.01086515,0.26792551,0.01,0.005,0.8,<class 'activation_function.TanH'>,<function xavier_initializer at 0x7efcfadb2940>,"(15,)"
0.53255454,0.01178881,0.33339268,0.01,0.005,0.4,<class 'activation_function.Relu'>,<function he_initializer at 0x7efcfadb29d0>,"(20, 20)"
0.51692617,0.01230483,0.34708626,0.01,0.005,0.8,<class 'activation_function.TanH'>,<function xavier_initializer at 0x7efcfadb2940>,"(10, 10)"
0.4483264,0.0107718,0.26761837,0.01,0.005,0.8,<class 'activation_function.Relu'>,<function xavier_initializer at 0x7efcfadb2940>,"(15,)"
0.51269467,0.01163723,0.34280404,0.01,0.005,0.8,<class 'activation_function.TanH'>,<function xavier_initializer at 0x7efcfadb2940>,"(20, 20)"
0.45979716,0.00880239,0.29030922,0.01,0.005,0.8,<class 'activation_function.Relu'>,<function xavier_initializer at 0x7efcfadb2940>,"(10, 10)"
0.46695866,0.00938392,0.29758723,0.01,0.005,0.8,<class 'activation_function.Relu'>,<function xavier_initializer at 0x7efcfadb2940>,"(20, 20)"
0.52800288,0.01205936,0.37387755,0.01,0.005,0.8,<class 'activation_function.TanH'>,<function he_initializer at 0x7efcfadb29d0>,"(10, 10)"
0.4481081,0.0105493,0.26701565,0.01,0.005,0.8,<class 'activation_function.TanH'>,<function he_initializer at 0x7efcfadb29d0>,"(15,)"
0.47472153,0.00947043,0.30522185,0.01,0.005,0.8,<class 'activation_function.Relu'>,<function he_initializer at 0x7efcfadb29d0>,"(10, 10)"
0.50940093,0.01166166,0.32152505,0.01,0.005,0.8,<class 'activation_function.TanH'>,<function he_initializer at 0x7efcfadb29d0>,"(20, 20)"
0.44913331,0.01131655,0.26789946,0.01,0.005,0.8,<class 'activation_function.Relu'>,<function he_initializer at 0x7efcfadb29d0>,"(15,)"
0.4643923,0.00991366,0.29173121,0.01,0.005,0.8,<class 'activation_function.Relu'>,<function he_initializer at 0x7efcfadb29d0>,"(20, 20)"
0.86707594,0.02436073,0.75576365,0.01,0.01,0,<class 'activation_function.TanH'>,<function xavier_initializer at 0x7efcfadb2940>,"(10, 10)"
0.52440294,0.01315361,0.37413498,0.01,0.01,0,<class 'activation_function.Relu'>,<function xavier_initializer at 0x7efcfadb2940>,"(15,)"
0.84458516,0.02303798,0.56697613,0.01,0.01,0,<class 'activation_function.TanH'>,<function xavier_initializer at 0x7efcfadb2940>,"(20, 20)"
0.52441099,0.01313233,0.37403229,0.01,0.01,0,<class 'activation_function.TanH'>,<function xavier_initializer at 0x7efcfadb2940>,"(15,)"
0.90827603,0.02913669,0.99562094,0.01,0.01,0,<class 'activation_function.Relu'>,<function xavier_initializer at 0x7efcfadb2940>,"(10, 10)"
0.91305654,0.02869713,0.84974437,0.01,0.01,0,<class 'activation_function.Relu'>,<function xavier_initializer at 0x7efcfadb2940>,"(20, 20)"
0.52445206,0.01329305,0.37532186,0.01,0.01,0,<class 'activation_function.TanH'>,<function he_initializer at 0x7efcfadb29d0>,"(15,)"
0.84432317,0.02329796,0.57893627,0.01,0.01,0,<class 'activation_function.TanH'>,<function he_initializer at 0x7efcfadb29d0>,"(20, 20)"
0.86460925,0.02411899,0.66767528,0.01,0.01,0,<class 'activation_function.TanH'>,<function he_initializer at 0x7efcfadb29d0>,"(10, 10)"
0.9175124,0.02751638,0.95711013,0.01,0.01,0,<class 'activation_function.Relu'>,<function he_initializer at 0x7efcfadb29d0>,"(10, 10)"
0.5245204,0.01327775,0.37406195,0.01,0.01,0,<class 'activation_function.Relu'>,<function he_initializer at 0x7efcfadb29d0>,"(15,)"
0.49454197,0.01250043,0.33166435,0.01,0.01,0.4,<class 'activation_function.TanH'>,<function xavier_initializer at 0x7efcfadb2940>,"(15,)"
0.90347047,0.02836569,0.61558635,0.01,0.01,0,<class 'activation_function.Relu'>,<function he_initializer at 0x7efcfadb29d0>,"(20, 20)"
0.77220765,0.01930121,0.6973661,0.01,0.01,0.4,<class 'activation_function.TanH'>,<function xavier_initializer at 0x7efcfadb2940>,"(10, 10)"
0.49452793,0.0124994,0.33164994,0.01,0.01,0.4,<class 'activation_function.Relu'>,<function xavier_initializer at 0x7efcfadb2940>,"(15,)"
0.747349,0.01822017,0.56514048,0.01,0.01,0.4,<class 'activation_function.TanH'>,<function xavier_initializer at 0x7efcfadb2940>,"(20, 20)"
0.76475255,0.0204755,0.72722437,0.01,0.01,0.4,<class 'activation_function.Relu'>,<function xavier_initializer at 0x7efcfadb2940>,"(10, 10)"
0.49446147,0.01251188,0.33148743,0.01,0.01,0.4,<class 'activation_function.TanH'>,<function he_initializer at 0x7efcfadb29d0>,"(15,)"
0.75996949,0.02033466,0.63994759,0.01,0.01,0.4,<class 'activation_function.Relu'>,<function xavier_initializer at 0x7efcfadb2940>,"(20, 20)"
0.76471471,0.01964135,0.48167049,0.01,0.01,0.4,<class 'activation_function.TanH'>,<function he_initializer at 0x7efcfadb29d0>,"(10, 10)"
0.75752476,0.02058889,0.54314103,0.01,0.01,0.4,<class 'activation_function.Relu'>,<function he_initializer at 0x7efcfadb29d0>,"(10, 10)"
0.74063852,0.01806524,0.4516221,0.01,0.01,0.4,<class 'activation_function.TanH'>,<function he_initializer at 0x7efcfadb29d0>,"(20, 20)"
0.49449839,0.0125139,0.33180378,0.01,0.01,0.4,<class 'activation_function.Relu'>,<function he_initializer at 0x7efcfadb29d0>,"(15,)"
0.47753728,0.01196669,0.30811519,0.01,0.01,0.8,<class 'activation_function.TanH'>,<function xavier_initializer at 0x7efcfadb2940>,"(15,)"
0.76096103,0.02085305,0.52301985,0.01,0.01,0.4,<class 'activation_function.Relu'>,<function he_initializer at 0x7efcfadb29d0>,"(20, 20)"
0.66807638,0.01611265,0.56662269,0.01,0.01,0.8,<class 'activation_function.Relu'>,<function xavier_initializer at 0x7efcfadb2940>,"(10, 10)"
0.68810846,0.01649999,0.61913457,0.01,0.01,0.8,<class 'activation_function.TanH'>,<function xavier_initializer at 0x7efcfadb2940>,"(10, 10)"
0.66451789,0.01523856,0.50267927,0.01,0.01,0.8,<class 'activation_function.TanH'>,<function xavier_initializer at 0x7efcfadb2940>,"(20, 20)"
0.47757582,0.01201207,0.3078939,0.01,0.01,0.8,<class 'activation_function.Relu'>,<function xavier_initializer at 0x7efcfadb2940>,"(15,)"
0.67316923,0.01613323,0.57437201,0.01,0.01,0.8,<class 'activation_function.Relu'>,<function xavier_initializer at 0x7efcfadb2940>,"(20, 20)"
0.47753589,0.01201448,0.30789956,0.01,0.01,0.8,<class 'activation_function.TanH'>,<function he_initializer at 0x7efcfadb29d0>,"(15,)"
0.68379631,0.01632864,0.48159927,0.01,0.01,0.8,<class 'activation_function.TanH'>,<function he_initializer at 0x7efcfadb29d0>,"(10, 10)"
0.47758957,0.01200817,0.30788356,0.01,0.01,0.8,<class 'activation_function.Relu'>,<function he_initializer at 0x7efcfadb29d0>,"(15,)"
0.6504256,0.01673938,0.54194911,0.01,0.01,0.8,<class 'activation_function.Relu'>,<function he_initializer at 0x7efcfadb29d0>,"(10, 10)"
0.66164269,0.01541146,0.39925497,0.01,0.01,0.8,<class 'activation_function.TanH'>,<function he_initializer at 0x7efcfadb29d0>,"(20, 20)"
0.37721377,0.01003762,0.18912162,0.05,0,0,<class 'activation_function.TanH'>,<function xavier_initializer at 0x7efcfadb2940>,"(10, 10)"
0.65544466,0.01656299,0.43275455,0.01,0.01,0.8,<class 'activation_function.Relu'>,<function he_initializer at 0x7efcfadb29d0>,"(20, 20)"
0.42983527,0.00742394,0.23869509,0.05,0,0,<class 'activation_function.TanH'>,<function xavier_initializer at 0x7efcfadb2940>,"(15,)"
0.39537459,0.00698806,0.20138371,0.05,0,0,<class 'activation_function.TanH'>,<function xavier_initializer at 0x7efcfadb2940>,"(20, 20)"
0.34025544,0.01334647,0.16069275,0.05,0,0,<class 'activation_function.Relu'>,<function xavier_initializer at 0x7efcfadb2940>,"(10, 10)"
0.42986378,0.00759009,0.23899896,0.05,0,0,<class 'activation_function.Relu'>,<function xavier_initializer at 0x7efcfadb2940>,"(15,)"
0.32623111,0.01549228,0.15395089,0.05,0,0,<class 'activation_function.Relu'>,<function xavier_initializer at 0x7efcfadb2940>,"(20, 20)"
0.40231143,0.01054122,0.20905661,0.05,0,0,<class 'activation_function.TanH'>,<function he_initializer at 0x7efcfadb29d0>,"(10, 10)"
0.39975946,0.00712291,0.20313425,0.05,0,0,<class 'activation_function.TanH'>,<function he_initializer at 0x7efcfadb29d0>,"(20, 20)"
0.42980592,0.0074339,0.23885242,0.05,0,0,<class 'activation_function.Relu'>,<function he_initializer at 0x7efcfadb29d0>,"(15,)"
0.42989167,0.00747826,0.23860001,0.05,0,0,<class 'activation_function.TanH'>,<function he_initializer at 0x7efcfadb29d0>,"(15,)"
0.35870521,0.00759649,0.17233566,0.05,0,0,<class 'activation_function.Relu'>,<function he_initializer at 0x7efcfadb29d0>,"(10, 10)"
0.34411732,0.01192623,0.15984924,0.05,0,0,<class 'activation_function.Relu'>,<function he_initializer at 0x7efcfadb29d0>,"(20, 20)"
0.42982063,0.00752348,0.23890386,0.05,0,0.4,<class 'activation_function.TanH'>,<function xavier_initializer at 0x7efcfadb2940>,"(15,)"
0.39195952,0.00703207,0.19716586,0.05,0,0.4,<class 'activation_function.TanH'>,<function xavier_initializer at 0x7efcfadb2940>,"(20, 20)"
0.37338187,0.00604912,0.18152976,0.05,0,0.4,<class 'activation_function.TanH'>,<function xavier_initializer at 0x7efcfadb2940>,"(10, 10)"
0.3319829,0.0131445,0.15519325,0.05,0,0.4,<class 'activation_function.Relu'>,<function xavier_initializer at 0x7efcfadb2940>,"(10, 10)"
0.42982344,0.00751431,0.23882001,0.05,0,0.4,<class 'activation_function.Relu'>,<function xavier_initializer at 0x7efcfadb2940>,"(15,)"
0.42984296,0.00759493,0.23876137,0.05,0,0.4,<class 'activation_function.TanH'>,<function he_initializer at 0x7efcfadb29d0>,"(15,)"
0.35391631,0.00805841,0.16826007,0.05,0,0.4,<class 'activation_function.TanH'>,<function he_initializer at 0x7efcfadb29d0>,"(10, 10)"
0.38836189,0.00330972,0.19075488,0.05,0,0.4,<class 'activation_function.TanH'>,<function he_initializer at 0x7efcfadb29d0>,"(20, 20)"
0.32798672,0.01341358,0.14887269,0.05,0,0.4,<class 'activation_function.Relu'>,<function xavier_initializer at 0x7efcfadb2940>,"(20, 20)"
0.3429671,0.01849508,0.16434533,0.05,0,0.4,<class 'activation_function.Relu'>,<function he_initializer at 0x7efcfadb29d0>,"(10, 10)"
0.42985527,0.00754005,0.23862916,0.05,0,0.4,<class 'activation_function.Relu'>,<function he_initializer at 0x7efcfadb29d0>,"(15,)"
0.42985001,0.00754538,0.23869593,0.05,0,0.8,<class 'activation_function.TanH'>,<function xavier_initializer at 0x7efcfadb2940>,"(15,)"
0.33475631,0.00989374,0.15442817,0.05,0,0.4,<class 'activation_function.Relu'>,<function he_initializer at 0x7efcfadb29d0>,"(20, 20)"
0.34884279,0.00479821,0.16218306,0.05,0,0.8,<class 'activation_function.TanH'>,<function xavier_initializer at 0x7efcfadb2940>,"(20, 20)"
0.42984604,0.00755129,0.23909351,0.05,0,0.8,<class 'activation_function.Relu'>,<function xavier_initializer at 0x7efcfadb2940>,"(15,)"
0.35097159,0.00962773,0.16725531,0.05,0,0.8,<class 'activation_function.TanH'>,<function xavier_initializer at 0x7efcfadb2940>,"(10, 10)"
0.31344281,0.01384497,0.14089775,0.05,0,0.8,<class 'activation_function.Relu'>,<function xavier_initializer at 0x7efcfadb2940>,"(20, 20)"
0.32540377,0.01715609,0.15033597,0.05,0,0.8,<class 'activation_function.Relu'>,<function xavier_initializer at 0x7efcfadb2940>,"(10, 10)"
0.42984649,0.00753846,0.2388563,0.05,0,0.8,<class 'activation_function.TanH'>,<function he_initializer at 0x7efcfadb29d0>,"(15,)"
0.42985023,0.00754624,0.23854653,0.05,0,0.8,<class 'activation_function.Relu'>,<function he_initializer at 0x7efcfadb29d0>,"(15,)"
0.38122895,0.00624795,0.1890936,0.05,0,0.8,<class 'activation_function.TanH'>,<function he_initializer at 0x7efcfadb29d0>,"(10, 10)"
0.33698754,0.00809511,0.15872478,0.05,0,0.8,<class 'activation_function.Relu'>,<function he_initializer at 0x7efcfadb29d0>,"(10, 10)"
0.35491488,0.00996888,0.16509428,0.05,0,0.8,<class 'activation_function.TanH'>,<function he_initializer at 0x7efcfadb29d0>,"(20, 20)"
0.31858836,0.01644042,0.14637937,0.05,0,0.8,<class 'activation_function.Relu'>,<function he_initializer at 0x7efcfadb29d0>,"(20, 20)"
0.4194822,0.01012411,0.23711626,0.05,0.005,0,<class 'activation_function.TanH'>,<function xavier_initializer at 0x7efcfadb2940>,"(10, 10)"
0.44026853,0.00961939,0.25747718,0.05,0.005,0,<class 'activation_function.TanH'>,<function xavier_initializer at 0x7efcfadb2940>,"(20, 20)"
0.43305189,0.00944803,0.24522863,0.05,0.005,0,<class 'activation_function.TanH'>,<function xavier_initializer at 0x7efcfadb2940>,"(15,)"
0.43304261,0.00943466,0.24522357,0.05,0.005,0,<class 'activation_function.Relu'>,<function xavier_initializer at 0x7efcfadb2940>,"(15,)"
0.3398189,0.00996824,0.17372051,0.05,0.005,0,<class 'activation_function.Relu'>,<function xavier_initializer at 0x7efcfadb2940>,"(10, 10)"
0.43306812,0.00945562,0.24503467,0.05,0.005,0,<class 'activation_function.TanH'>,<function he_initializer at 0x7efcfadb29d0>,"(15,)"
0.42463841,0.01074053,0.24298323,0.05,0.005,0,<class 'activation_function.TanH'>,<function he_initializer at 0x7efcfadb29d0>,"(10, 10)"
0.34410944,0.00853006,0.17595032,0.05,0.005,0,<class 'activation_function.Relu'>,<function xavier_initializer at 0x7efcfadb2940>,"(20, 20)"
0.34691055,0.00918303,0.17865178,0.05,0.005,0,<class 'activation_function.Relu'>,<function he_initializer at 0x7efcfadb29d0>,"(10, 10)"
0.43305229,0.00943975,0.24534121,0.05,0.005,0,<class 'activation_function.Relu'>,<function he_initializer at 0x7efcfadb29d0>,"(15,)"
0.43289536,0.00897215,0.2500925,0.05,0.005,0,<class 'activation_function.TanH'>,<function he_initializer at 0x7efcfadb29d0>,"(20, 20)"
0.34412621,0.00913124,0.1750967,0.05,0.005,0,<class 'activation_function.Relu'>,<function he_initializer at 0x7efcfadb29d0>,"(20, 20)"
0.43138023,0.00909605,0.24220967,0.05,0.005,0.4,<class 'activation_function.TanH'>,<function xavier_initializer at 0x7efcfadb2940>,"(15,)"
