accuracy_average_vl,accuracy_sd_vl,average_tr_error_best_vl,learning_rate,regularization,momentum,activation_hidden,weight_init,topology
0.43959457,0.00785284,0.24904005,0.01,0,0,<class 'activation_function.TanH'>,<function xavier_initializer at 0x0000026AC72D3EE0>,"(15,)"
0.4339215,0.00640785,0.24458876,0.01,0,0,<class 'activation_function.Relu'>,<function xavier_initializer at 0x0000026AC72D3EE0>,"(15,)"
0.37165532,0.00747416,0.19272025,0.01,0,0,<class 'activation_function.Relu'>,<function xavier_initializer at 0x0000026AC72D3EE0>,"(10, 10)"
0.42866841,0.00608118,0.2431776,0.01,0,0,<class 'activation_function.TanH'>,<function xavier_initializer at 0x0000026AC72D3EE0>,"(10, 10)"
0.427596,0.01161607,0.23596844,0.01,0,0,<class 'activation_function.TanH'>,<function xavier_initializer at 0x0000026AC72D3EE0>,"(20, 20)"
0.43410015,0.00855566,0.24444009,0.01,0,0,<class 'activation_function.TanH'>,<function he_initializer at 0x0000026AC72D3F70>,"(15,)"
0.37026907,0.01207036,0.18538109,0.01,0,0,<class 'activation_function.Relu'>,<function xavier_initializer at 0x0000026AC72D3EE0>,"(20, 20)"
0.42451291,0.00683909,0.22959809,0.01,0,0,<class 'activation_function.TanH'>,<function he_initializer at 0x0000026AC72D3F70>,"(10, 10)"
0.40367972,0.00335196,0.22049234,0.01,0,0,<class 'activation_function.Relu'>,<function he_initializer at 0x0000026AC72D3F70>,"(10, 10)"
0.44405061,0.00948567,0.2508519,0.01,0,0,<class 'activation_function.TanH'>,<function he_initializer at 0x0000026AC72D3F70>,"(20, 20)"
0.44156273,0.00966001,0.25086832,0.01,0,0,<class 'activation_function.Relu'>,<function he_initializer at 0x0000026AC72D3F70>,"(15,)"
0.37519443,0.00971571,0.1865191,0.01,0,0,<class 'activation_function.Relu'>,<function he_initializer at 0x0000026AC72D3F70>,"(20, 20)"
0.39630136,0.00411003,0.20597835,0.01,0,0.4,<class 'activation_function.TanH'>,<function xavier_initializer at 0x0000026AC72D3EE0>,"(10, 10)"
0.4315403,0.00834579,0.24024502,0.01,0,0.4,<class 'activation_function.TanH'>,<function xavier_initializer at 0x0000026AC72D3EE0>,"(15,)"
0.35765389,0.00794294,0.17761703,0.01,0,0.4,<class 'activation_function.Relu'>,<function xavier_initializer at 0x0000026AC72D3EE0>,"(10, 10)"
0.43196017,0.0072649,0.24049343,0.01,0,0.4,<class 'activation_function.Relu'>,<function xavier_initializer at 0x0000026AC72D3EE0>,"(15,)"
0.4122541,0.00356072,0.21765678,0.01,0,0.4,<class 'activation_function.TanH'>,<function xavier_initializer at 0x0000026AC72D3EE0>,"(20, 20)"
0.34577928,0.01719329,0.16788338,0.01,0,0.4,<class 'activation_function.Relu'>,<function xavier_initializer at 0x0000026AC72D3EE0>,"(20, 20)"
0.45189373,0.01251358,0.2626392,0.01,0,0.4,<class 'activation_function.TanH'>,<function he_initializer at 0x0000026AC72D3F70>,"(10, 10)"
0.43122799,0.00611257,0.23980888,0.01,0,0.4,<class 'activation_function.TanH'>,<function he_initializer at 0x0000026AC72D3F70>,"(15,)"
0.37162504,0.00692579,0.18236463,0.01,0,0.4,<class 'activation_function.Relu'>,<function he_initializer at 0x0000026AC72D3F70>,"(10, 10)"
0.43248456,0.01015393,0.24098681,0.01,0,0.4,<class 'activation_function.Relu'>,<function he_initializer at 0x0000026AC72D3F70>,"(15,)"
0.41671193,0.00170338,0.22047134,0.01,0,0.4,<class 'activation_function.TanH'>,<function he_initializer at 0x0000026AC72D3F70>,"(20, 20)"
0.36631826,0.01128123,0.18095665,0.01,0,0.4,<class 'activation_function.Relu'>,<function he_initializer at 0x0000026AC72D3F70>,"(20, 20)"
0.37811524,0.0043133,0.19071477,0.01,0,0.8,<class 'activation_function.TanH'>,<function xavier_initializer at 0x0000026AC72D3EE0>,"(10, 10)"
0.43009448,0.00744548,0.23966078,0.01,0,0.8,<class 'activation_function.TanH'>,<function xavier_initializer at 0x0000026AC72D3EE0>,"(15,)"
0.33886125,0.01286996,0.16308737,0.01,0,0.8,<class 'activation_function.Relu'>,<function xavier_initializer at 0x0000026AC72D3EE0>,"(10, 10)"
0.42965656,0.0074941,0.23879346,0.01,0,0.8,<class 'activation_function.Relu'>,<function xavier_initializer at 0x0000026AC72D3EE0>,"(15,)"
0.40321982,0.0069664,0.21090553,0.01,0,0.8,<class 'activation_function.TanH'>,<function xavier_initializer at 0x0000026AC72D3EE0>,"(20, 20)"
0.33632254,0.01138916,0.1591413,0.01,0,0.8,<class 'activation_function.Relu'>,<function xavier_initializer at 0x0000026AC72D3EE0>,"(20, 20)"
0.42879455,0.0140546,0.24186164,0.01,0,0.8,<class 'activation_function.TanH'>,<function he_initializer at 0x0000026AC72D3F70>,"(10, 10)"
0.43040095,0.0092348,0.24012449,0.01,0,0.8,<class 'activation_function.TanH'>,<function he_initializer at 0x0000026AC72D3F70>,"(15,)"
0.3483061,0.00183051,0.16773417,0.01,0,0.8,<class 'activation_function.Relu'>,<function he_initializer at 0x0000026AC72D3F70>,"(10, 10)"
0.43026561,0.00856897,0.23922605,0.01,0,0.8,<class 'activation_function.Relu'>,<function he_initializer at 0x0000026AC72D3F70>,"(15,)"
0.38153852,0.00622696,0.19220358,0.01,0,0.8,<class 'activation_function.TanH'>,<function he_initializer at 0x0000026AC72D3F70>,"(20, 20)"
0.35700442,0.01217235,0.16990544,0.01,0,0.8,<class 'activation_function.Relu'>,<function he_initializer at 0x0000026AC72D3F70>,"(20, 20)"
0.65157287,0.01498309,0.51059172,0.01,0.005,0,<class 'activation_function.TanH'>,<function xavier_initializer at 0x0000026AC72D3EE0>,"(10, 10)"
0.47161801,0.01180274,0.29930787,0.01,0.005,0,<class 'activation_function.TanH'>,<function xavier_initializer at 0x0000026AC72D3EE0>,"(15,)"
0.60938224,0.01464109,0.48021014,0.01,0.005,0,<class 'activation_function.Relu'>,<function xavier_initializer at 0x0000026AC72D3EE0>,"(10, 10)"
0.47160763,0.01178607,0.2997357,0.01,0.005,0,<class 'activation_function.Relu'>,<function xavier_initializer at 0x0000026AC72D3EE0>,"(15,)"
0.62782963,0.01445132,0.41846641,0.01,0.005,0,<class 'activation_function.TanH'>,<function xavier_initializer at 0x0000026AC72D3EE0>,"(20, 20)"
0.61630025,0.01481587,0.48527844,0.01,0.005,0,<class 'activation_function.Relu'>,<function xavier_initializer at 0x0000026AC72D3EE0>,"(20, 20)"
0.64586647,0.01555236,0.46951194,0.01,0.005,0,<class 'activation_function.TanH'>,<function he_initializer at 0x0000026AC72D3F70>,"(10, 10)"
0.47160669,0.01179507,0.29917836,0.01,0.005,0,<class 'activation_function.TanH'>,<function he_initializer at 0x0000026AC72D3F70>,"(15,)"
0.61141243,0.01524868,0.48480068,0.01,0.005,0,<class 'activation_function.Relu'>,<function he_initializer at 0x0000026AC72D3F70>,"(10, 10)"
0.47162405,0.01175403,0.29989053,0.01,0.005,0,<class 'activation_function.Relu'>,<function he_initializer at 0x0000026AC72D3F70>,"(15,)"
0.62550113,0.01420078,0.43871122,0.01,0.005,0,<class 'activation_function.TanH'>,<function he_initializer at 0x0000026AC72D3F70>,"(20, 20)"
0.62365936,0.01472777,0.45508791,0.01,0.005,0,<class 'activation_function.Relu'>,<function he_initializer at 0x0000026AC72D3F70>,"(20, 20)"
0.56059281,0.01217716,0.40878586,0.01,0.005,0.4,<class 'activation_function.TanH'>,<function xavier_initializer at 0x0000026AC72D3EE0>,"(10, 10)"
0.4565113,0.01119234,0.2785866,0.01,0.005,0.4,<class 'activation_function.TanH'>,<function xavier_initializer at 0x0000026AC72D3EE0>,"(15,)"
0.50157323,0.01104816,0.34337302,0.01,0.005,0.4,<class 'activation_function.Relu'>,<function xavier_initializer at 0x0000026AC72D3EE0>,"(10, 10)"
0.45650272,0.01119381,0.27862975,0.01,0.005,0.4,<class 'activation_function.Relu'>,<function xavier_initializer at 0x0000026AC72D3EE0>,"(15,)"
0.54421107,0.01272635,0.35398904,0.01,0.005,0.4,<class 'activation_function.TanH'>,<function xavier_initializer at 0x0000026AC72D3EE0>,"(20, 20)"
0.50262486,0.01069742,0.34316959,0.01,0.005,0.4,<class 'activation_function.Relu'>,<function xavier_initializer at 0x0000026AC72D3EE0>,"(20, 20)"
0.55746279,0.01325525,0.39326272,0.01,0.005,0.4,<class 'activation_function.TanH'>,<function he_initializer at 0x0000026AC72D3F70>,"(10, 10)"
0.4565065,0.01120968,0.27907387,0.01,0.005,0.4,<class 'activation_function.TanH'>,<function he_initializer at 0x0000026AC72D3F70>,"(15,)"
0.50163334,0.01092922,0.34114804,0.01,0.005,0.4,<class 'activation_function.Relu'>,<function he_initializer at 0x0000026AC72D3F70>,"(10, 10)"
0.45650611,0.01118953,0.27873857,0.01,0.005,0.4,<class 'activation_function.Relu'>,<function he_initializer at 0x0000026AC72D3F70>,"(15,)"
0.54476547,0.012326,0.35121104,0.01,0.005,0.4,<class 'activation_function.TanH'>,<function he_initializer at 0x0000026AC72D3F70>,"(20, 20)"
0.5027871,0.01082098,0.34309891,0.01,0.005,0.4,<class 'activation_function.Relu'>,<function he_initializer at 0x0000026AC72D3F70>,"(20, 20)"
0.51429481,0.01225029,0.35865271,0.01,0.005,0.8,<class 'activation_function.TanH'>,<function xavier_initializer at 0x0000026AC72D3EE0>,"(10, 10)"
0.44842894,0.01080516,0.26728764,0.01,0.005,0.8,<class 'activation_function.TanH'>,<function xavier_initializer at 0x0000026AC72D3EE0>,"(15,)"
0.44564537,0.00912322,0.2797156,0.01,0.005,0.8,<class 'activation_function.Relu'>,<function xavier_initializer at 0x0000026AC72D3EE0>,"(10, 10)"
0.44843059,0.01080788,0.26728919,0.01,0.005,0.8,<class 'activation_function.Relu'>,<function xavier_initializer at 0x0000026AC72D3EE0>,"(15,)"
0.50562947,0.01148098,0.32262417,0.01,0.005,0.8,<class 'activation_function.TanH'>,<function xavier_initializer at 0x0000026AC72D3EE0>,"(20, 20)"
0.44917752,0.00902908,0.28166618,0.01,0.005,0.8,<class 'activation_function.Relu'>,<function xavier_initializer at 0x0000026AC72D3EE0>,"(20, 20)"
0.50705356,0.01174522,0.34974237,0.01,0.005,0.8,<class 'activation_function.TanH'>,<function he_initializer at 0x0000026AC72D3F70>,"(10, 10)"
0.44842641,0.01080274,0.26769849,0.01,0.005,0.8,<class 'activation_function.TanH'>,<function he_initializer at 0x0000026AC72D3F70>,"(15,)"
0.44776674,0.00885574,0.28214126,0.01,0.005,0.8,<class 'activation_function.Relu'>,<function he_initializer at 0x0000026AC72D3F70>,"(10, 10)"
0.44842147,0.01080812,0.26717846,0.01,0.005,0.8,<class 'activation_function.Relu'>,<function he_initializer at 0x0000026AC72D3F70>,"(15,)"
0.50711522,0.01149918,0.32338505,0.01,0.005,0.8,<class 'activation_function.TanH'>,<function he_initializer at 0x0000026AC72D3F70>,"(20, 20)"
0.44623557,0.00897384,0.27933331,0.01,0.005,0.8,<class 'activation_function.Relu'>,<function he_initializer at 0x0000026AC72D3F70>,"(20, 20)"
0.86670698,0.02365499,0.59832759,0.01,0.01,0,<class 'activation_function.TanH'>,<function xavier_initializer at 0x0000026AC72D3EE0>,"(10, 10)"
0.52437276,0.01319065,0.37381264,0.01,0.01,0,<class 'activation_function.TanH'>,<function xavier_initializer at 0x0000026AC72D3EE0>,"(15,)"
0.8573611,0.02468682,0.91044703,0.01,0.01,0,<class 'activation_function.Relu'>,<function xavier_initializer at 0x0000026AC72D3EE0>,"(10, 10)"
0.52437273,0.01319054,0.37381277,0.01,0.01,0,<class 'activation_function.Relu'>,<function xavier_initializer at 0x0000026AC72D3EE0>,"(15,)"
0.85278329,0.02277161,0.65579446,0.01,0.01,0,<class 'activation_function.TanH'>,<function xavier_initializer at 0x0000026AC72D3EE0>,"(20, 20)"
0.85977729,0.02527062,0.83770454,0.01,0.01,0,<class 'activation_function.Relu'>,<function xavier_initializer at 0x0000026AC72D3EE0>,"(20, 20)"
0.86619918,0.02365971,0.8514956,0.01,0.01,0,<class 'activation_function.TanH'>,<function he_initializer at 0x0000026AC72D3F70>,"(10, 10)"
0.52437258,0.0131907,0.3732951,0.01,0.01,0,<class 'activation_function.TanH'>,<function he_initializer at 0x0000026AC72D3F70>,"(15,)"
0.85918279,0.02521143,0.91540178,0.01,0.01,0,<class 'activation_function.Relu'>,<function he_initializer at 0x0000026AC72D3F70>,"(10, 10)"
0.52437245,0.01319037,0.37418796,0.01,0.01,0,<class 'activation_function.Relu'>,<function he_initializer at 0x0000026AC72D3F70>,"(15,)"
0.85301139,0.02291428,0.56198474,0.01,0.01,0,<class 'activation_function.TanH'>,<function he_initializer at 0x0000026AC72D3F70>,"(20, 20)"
0.8582328,0.02484004,0.67720207,0.01,0.01,0,<class 'activation_function.Relu'>,<function he_initializer at 0x0000026AC72D3F70>,"(20, 20)"
0.77959915,0.01904156,0.60397419,0.01,0.01,0.4,<class 'activation_function.TanH'>,<function xavier_initializer at 0x0000026AC72D3EE0>,"(10, 10)"
0.4945237,0.0125279,0.33157945,0.01,0.01,0.4,<class 'activation_function.TanH'>,<function xavier_initializer at 0x0000026AC72D3EE0>,"(15,)"
