accuracy_average_vl,accuracy_sd_vl,average_tr_error_best_vl,learning_rate,regularization,momentum,activation_hidden,weight_init,topology
0.46642889,0.01069288,0.27826269,0.01,0,0,<class 'activation_function.TanH'>,<function xavier_initializer at 0x0000028D940A65E0>,"(15,)"
0.45430663,0.01353505,0.26765493,0.01,0,0,<class 'activation_function.Relu'>,<function xavier_initializer at 0x0000028D940A65E0>,"(15,)"
0.44577218,0.01453037,0.26644829,0.01,0,0,<class 'activation_function.Relu'>,<function xavier_initializer at 0x0000028D940A65E0>,"(10, 10)"
0.47203125,0.00823568,0.28883695,0.01,0,0,<class 'activation_function.TanH'>,<function xavier_initializer at 0x0000028D940A65E0>,"(10, 10)"
0.44396497,0.00601228,0.25211685,0.01,0,0,<class 'activation_function.TanH'>,<function xavier_initializer at 0x0000028D940A65E0>,"(20, 20)"
0.50534677,0.01694907,0.32733086,0.01,0,0,<class 'activation_function.TanH'>,<function he_initializer at 0x0000028D940F79D0>,"(15,)"
0.41496103,0.00891628,0.22862032,0.01,0,0,<class 'activation_function.Relu'>,<function xavier_initializer at 0x0000028D940A65E0>,"(20, 20)"
0.52338861,0.00249537,0.33950259,0.01,0,0,<class 'activation_function.TanH'>,<function he_initializer at 0x0000028D940F79D0>,"(10, 10)"
0.4702198,0.01087629,0.28640582,0.01,0,0,<class 'activation_function.Relu'>,<function he_initializer at 0x0000028D940F79D0>,"(10, 10)"
0.47183773,0.00745008,0.28848343,0.01,0,0,<class 'activation_function.TanH'>,<function he_initializer at 0x0000028D940F79D0>,"(20, 20)"
0.50355827,0.01704723,0.32608918,0.01,0,0,<class 'activation_function.Relu'>,<function he_initializer at 0x0000028D940F79D0>,"(15,)"
0.4470607,0.00727896,0.26052325,0.01,0,0,<class 'activation_function.Relu'>,<function he_initializer at 0x0000028D940F79D0>,"(20, 20)"
0.43676156,0.01465705,0.24765835,0.01,0,0.4,<class 'activation_function.TanH'>,<function xavier_initializer at 0x0000028D940A65E0>,"(10, 10)"
0.44211083,0.00982869,0.25004483,0.01,0,0.4,<class 'activation_function.TanH'>,<function xavier_initializer at 0x0000028D940A65E0>,"(15,)"
0.40321548,0.01164154,0.22342651,0.01,0,0.4,<class 'activation_function.Relu'>,<function xavier_initializer at 0x0000028D940A65E0>,"(10, 10)"
0.44257615,0.00991877,0.25432034,0.01,0,0.4,<class 'activation_function.Relu'>,<function xavier_initializer at 0x0000028D940A65E0>,"(15,)"
0.43928641,0.00416461,0.24597477,0.01,0,0.4,<class 'activation_function.TanH'>,<function xavier_initializer at 0x0000028D940A65E0>,"(20, 20)"
0.38368207,0.01073513,0.21166085,0.01,0,0.4,<class 'activation_function.Relu'>,<function xavier_initializer at 0x0000028D940A65E0>,"(20, 20)"
0.50977344,0.01575557,0.32805469,0.01,0,0.4,<class 'activation_function.TanH'>,<function he_initializer at 0x0000028D940F79D0>,"(10, 10)"
0.45949365,0.00516715,0.27240936,0.01,0,0.4,<class 'activation_function.TanH'>,<function he_initializer at 0x0000028D940F79D0>,"(15,)"
0.44474647,0.00480085,0.25377875,0.01,0,0.4,<class 'activation_function.Relu'>,<function he_initializer at 0x0000028D940F79D0>,"(10, 10)"
0.45514456,0.00558219,0.26532985,0.01,0,0.4,<class 'activation_function.Relu'>,<function he_initializer at 0x0000028D940F79D0>,"(15,)"
0.45757622,0.01411802,0.26404046,0.01,0,0.4,<class 'activation_function.TanH'>,<function he_initializer at 0x0000028D940F79D0>,"(20, 20)"
0.38004676,0.00498126,0.1985418,0.01,0,0.4,<class 'activation_function.Relu'>,<function he_initializer at 0x0000028D940F79D0>,"(20, 20)"
0.44610129,0.00431853,0.25218577,0.01,0,0.8,<class 'activation_function.TanH'>,<function xavier_initializer at 0x0000028D940A65E0>,"(10, 10)"
0.43784928,0.0093831,0.24746834,0.01,0,0.8,<class 'activation_function.TanH'>,<function xavier_initializer at 0x0000028D940A65E0>,"(15,)"
0.36363369,0.01179587,0.18319604,0.01,0,0.8,<class 'activation_function.Relu'>,<function xavier_initializer at 0x0000028D940A65E0>,"(10, 10)"
0.43982005,0.01040015,0.24760793,0.01,0,0.8,<class 'activation_function.Relu'>,<function xavier_initializer at 0x0000028D940A65E0>,"(15,)"
0.43336054,0.00667816,0.24406861,0.01,0,0.8,<class 'activation_function.TanH'>,<function xavier_initializer at 0x0000028D940A65E0>,"(20, 20)"
0.36502013,0.01371762,0.18269267,0.01,0,0.8,<class 'activation_function.Relu'>,<function xavier_initializer at 0x0000028D940A65E0>,"(20, 20)"
0.43957881,0.00378039,0.24921475,0.01,0,0.8,<class 'activation_function.TanH'>,<function he_initializer at 0x0000028D940F79D0>,"(10, 10)"
0.44663993,0.01412324,0.2559885,0.01,0,0.8,<class 'activation_function.TanH'>,<function he_initializer at 0x0000028D940F79D0>,"(15,)"
0.42808659,0.01340992,0.23577128,0.01,0,0.8,<class 'activation_function.Relu'>,<function he_initializer at 0x0000028D940F79D0>,"(10, 10)"
0.43730075,0.00965139,0.24709968,0.01,0,0.8,<class 'activation_function.Relu'>,<function he_initializer at 0x0000028D940F79D0>,"(15,)"
0.45032849,0.00150528,0.25739723,0.01,0,0.8,<class 'activation_function.TanH'>,<function he_initializer at 0x0000028D940F79D0>,"(20, 20)"
0.37187639,0.01205046,0.19097943,0.01,0,0.8,<class 'activation_function.Relu'>,<function he_initializer at 0x0000028D940F79D0>,"(20, 20)"
0.65271325,0.01582888,0.56707956,0.01,0.005,0,<class 'activation_function.TanH'>,<function xavier_initializer at 0x0000028D940A65E0>,"(10, 10)"
0.47084953,0.01181508,0.29907469,0.01,0.005,0,<class 'activation_function.TanH'>,<function xavier_initializer at 0x0000028D940A65E0>,"(15,)"
0.66047692,0.01628044,0.547083,0.01,0.005,0,<class 'activation_function.Relu'>,<function xavier_initializer at 0x0000028D940A65E0>,"(10, 10)"
0.47183537,0.01179196,0.29978196,0.01,0.005,0,<class 'activation_function.Relu'>,<function xavier_initializer at 0x0000028D940A65E0>,"(15,)"
0.62841239,0.0142992,0.51047062,0.01,0.005,0,<class 'activation_function.TanH'>,<function xavier_initializer at 0x0000028D940A65E0>,"(20, 20)"
0.65914541,0.01589703,0.54436263,0.01,0.005,0,<class 'activation_function.Relu'>,<function xavier_initializer at 0x0000028D940A65E0>,"(20, 20)"
0.6497289,0.01757144,0.55855525,0.01,0.005,0,<class 'activation_function.TanH'>,<function he_initializer at 0x0000028D940F79D0>,"(10, 10)"
0.47630737,0.01184036,0.30561392,0.01,0.005,0,<class 'activation_function.TanH'>,<function he_initializer at 0x0000028D940F79D0>,"(15,)"
0.67060784,0.01506589,0.56479764,0.01,0.005,0,<class 'activation_function.Relu'>,<function he_initializer at 0x0000028D940F79D0>,"(10, 10)"
0.60721507,0.01436983,0.35269935,0.01,0.005,0,<class 'activation_function.TanH'>,<function he_initializer at 0x0000028D940F79D0>,"(20, 20)"
0.47264155,0.01209155,0.30078497,0.01,0.005,0,<class 'activation_function.Relu'>,<function he_initializer at 0x0000028D940F79D0>,"(15,)"
