accuracy_average_vl,accuracy_sd_vl,average_tr_error_best_vl,learning_rate,regularization,momentum,activation_hidden,weight_init,topology
0.48559498,0.00264981,0.29824169,0.01,0,0,<class 'activation_function.Sigmoid'>,<function xavier_initializer at 0x000002BC66366DC0>,"(15,)"
0.46819086,0.0125537,0.28062726,0.01,0,0,<class 'activation_function.LeakyRelu'>,<function xavier_initializer at 0x000002BC66366DC0>,"(15,)"
0.39484245,0.01897142,0.21096961,0.01,0,0,<class 'activation_function.LeakyRelu'>,<function xavier_initializer at 0x000002BC66366DC0>,"(10, 10)"
0.61537946,0.00920864,0.49430339,0.01,0,0,<class 'activation_function.Sigmoid'>,<function xavier_initializer at 0x000002BC66366DC0>,"(10, 10)"
0.38501036,0.01439,0.20692107,0.01,0,0,<class 'activation_function.LeakyRelu'>,<function xavier_initializer at 0x000002BC66366DC0>,"(20, 20)"
0.51468877,0.01182198,0.33586047,0.01,0,0,<class 'activation_function.LeakyRelu'>,<function he_initializer at 0x000002BC66366E50>,"(15,)"
0.4913535,0.01473274,0.30637709,0.01,0,0,<class 'activation_function.LeakyRelu'>,<function he_initializer at 0x000002BC66366E50>,"(10, 10)"
0.50872975,0.00719204,0.34174391,0.01,0,0,<class 'activation_function.Sigmoid'>,<function xavier_initializer at 0x000002BC66366DC0>,"(20, 20)"
0.41284103,0.01588474,0.22959899,0.01,0,0,<class 'activation_function.LeakyRelu'>,<function he_initializer at 0x000002BC66366E50>,"(20, 20)"
0.571741,0.00425778,0.4314971,0.01,0,0,<class 'activation_function.Sigmoid'>,<function he_initializer at 0x000002BC66366E50>,"(10, 10)"
0.47720956,0.01581675,0.29278049,0.01,0,0,<class 'activation_function.Sigmoid'>,<function he_initializer at 0x000002BC66366E50>,"(15,)"
0.45034198,0.00884204,0.26316505,0.01,0,0.4,<class 'activation_function.LeakyRelu'>,<function xavier_initializer at 0x000002BC66366DC0>,"(15,)"
0.38406857,0.00497715,0.20292495,0.01,0,0.4,<class 'activation_function.LeakyRelu'>,<function xavier_initializer at 0x000002BC66366DC0>,"(10, 10)"
0.51363692,0.01018427,0.34261764,0.01,0,0,<class 'activation_function.Sigmoid'>,<function he_initializer at 0x000002BC66366E50>,"(20, 20)"
0.39438298,0.01648283,0.20342651,0.01,0,0.4,<class 'activation_function.LeakyRelu'>,<function xavier_initializer at 0x000002BC66366DC0>,"(20, 20)"
0.52269201,0.00495341,0.36637046,0.01,0,0.4,<class 'activation_function.Sigmoid'>,<function xavier_initializer at 0x000002BC66366DC0>,"(10, 10)"
0.44336051,0.01014721,0.2531355,0.01,0,0.4,<class 'activation_function.Sigmoid'>,<function xavier_initializer at 0x000002BC66366DC0>,"(15,)"
0.47824688,0.01036896,0.29440664,0.01,0,0.4,<class 'activation_function.LeakyRelu'>,<function he_initializer at 0x000002BC66366E50>,"(10, 10)"
0.45812613,0.00961867,0.26480229,0.01,0,0.4,<class 'activation_function.LeakyRelu'>,<function he_initializer at 0x000002BC66366E50>,"(15,)"
0.5158231,0.00639081,0.34865121,0.01,0,0.4,<class 'activation_function.Sigmoid'>,<function xavier_initializer at 0x000002BC66366DC0>,"(20, 20)"
0.51958482,0.01237423,0.3542521,0.01,0,0.4,<class 'activation_function.Sigmoid'>,<function he_initializer at 0x000002BC66366E50>,"(10, 10)"
0.41706183,0.01430875,0.23358543,0.01,0,0.4,<class 'activation_function.LeakyRelu'>,<function he_initializer at 0x000002BC66366E50>,"(20, 20)"
0.47579504,0.01062239,0.28878698,0.01,0,0.4,<class 'activation_function.Sigmoid'>,<function he_initializer at 0x000002BC66366E50>,"(15,)"
0.38329097,0.01083088,0.20433248,0.01,0,0.8,<class 'activation_function.LeakyRelu'>,<function xavier_initializer at 0x000002BC66366DC0>,"(10, 10)"
0.47779399,0.00779384,0.30177522,0.01,0,0.4,<class 'activation_function.Sigmoid'>,<function he_initializer at 0x000002BC66366E50>,"(20, 20)"
0.43909478,0.01032759,0.24970546,0.01,0,0.8,<class 'activation_function.LeakyRelu'>,<function xavier_initializer at 0x000002BC66366DC0>,"(15,)"
0.52202545,0.00829493,0.35579172,0.01,0,0.8,<class 'activation_function.Sigmoid'>,<function xavier_initializer at 0x000002BC66366DC0>,"(10, 10)"
0.43469686,0.00866888,0.24533194,0.01,0,0.8,<class 'activation_function.Sigmoid'>,<function xavier_initializer at 0x000002BC66366DC0>,"(15,)"
0.380744,0.01017493,0.19619866,0.01,0,0.8,<class 'activation_function.LeakyRelu'>,<function xavier_initializer at 0x000002BC66366DC0>,"(20, 20)"
