accuracy_average_vl,accuracy_sd_vl,average_tr_error_best_vl,learning_rate,regularization,momentum,activation_hidden,weight_init,topology
0.47498701,0.007891,0.28753414,0.01,0,0,<class 'activation_function.TanH'>,<function xavier_initializer at 0x7f2b32453940>,"(30,)"
0.46956014,0.01661122,0.2871432,0.01,0,0,<class 'activation_function.Relu'>,<function xavier_initializer at 0x7f2b32453940>,"(30,)"
0.43265432,0.01522978,0.25153312,0.01,0,0,<class 'activation_function.Relu'>,<function xavier_initializer at 0x7f2b32453940>,"(10, 10)"
0.39459067,0.01642959,0.21400674,0.01,0,0,<class 'activation_function.Relu'>,<function xavier_initializer at 0x7f2b32453940>,"(20, 20)"
0.39908089,0.01060051,0.21367455,0.01,0,0,<class 'activation_function.Relu'>,<function xavier_initializer at 0x7f2b32453940>,"(25, 25)"
0.49681862,0.01212269,0.32253968,0.01,0,0,<class 'activation_function.TanH'>,<function xavier_initializer at 0x7f2b32453940>,"(10, 10)"
0.43431043,0.00655756,0.2495881,0.01,0,0,<class 'activation_function.TanH'>,<function xavier_initializer at 0x7f2b32453940>,"(20, 20)"
0.44847148,0.00974377,0.26008893,0.01,0,0,<class 'activation_function.TanH'>,<function xavier_initializer at 0x7f2b32453940>,"(25, 25)"
0.47890821,0.02117936,0.29418467,0.01,0,0,<class 'activation_function.Sigmoid'>,<function xavier_initializer at 0x7f2b32453940>,"(30,)"
0.59744766,0.00790368,0.46214675,0.01,0,0,<class 'activation_function.Sigmoid'>,<function xavier_initializer at 0x7f2b32453940>,"(10, 10)"
0.46943992,0.0153344,0.28604164,0.01,0,0,<class 'activation_function.TanH'>,<function he_initializer at 0x7f2b324539d0>,"(30,)"
0.49750285,0.00161404,0.30877199,0.01,0,0,<class 'activation_function.TanH'>,<function he_initializer at 0x7f2b324539d0>,"(10, 10)"
0.54000652,0.0095134,0.3812709,0.01,0,0,<class 'activation_function.Sigmoid'>,<function xavier_initializer at 0x7f2b32453940>,"(20, 20)"
0.48262601,0.01146907,0.30272738,0.01,0,0,<class 'activation_function.Sigmoid'>,<function xavier_initializer at 0x7f2b32453940>,"(25, 25)"
0.47294292,0.00866117,0.28218477,0.01,0,0,<class 'activation_function.TanH'>,<function he_initializer at 0x7f2b324539d0>,"(20, 20)"
0.47054645,0.0121744,0.28423309,0.01,0,0,<class 'activation_function.TanH'>,<function he_initializer at 0x7f2b324539d0>,"(25, 25)"
0.4877098,0.01284969,0.3033065,0.01,0,0,<class 'activation_function.Relu'>,<function he_initializer at 0x7f2b324539d0>,"(30,)"
0.43032133,0.01510067,0.24245357,0.01,0,0,<class 'activation_function.Relu'>,<function he_initializer at 0x7f2b324539d0>,"(10, 10)"
0.46522654,0.00827369,0.27517633,0.01,0,0,<class 'activation_function.Sigmoid'>,<function he_initializer at 0x7f2b324539d0>,"(30,)"
0.43629425,0.01135249,0.24485384,0.01,0,0,<class 'activation_function.Relu'>,<function he_initializer at 0x7f2b324539d0>,"(20, 20)"
0.57343327,0.00410114,0.42732811,0.01,0,0,<class 'activation_function.Sigmoid'>,<function he_initializer at 0x7f2b324539d0>,"(10, 10)"
0.3987439,0.01682402,0.21082056,0.01,0,0,<class 'activation_function.Relu'>,<function he_initializer at 0x7f2b324539d0>,"(25, 25)"
0.526983,0.00503147,0.36583567,0.01,0,0,<class 'activation_function.Sigmoid'>,<function he_initializer at 0x7f2b324539d0>,"(20, 20)"
0.53037745,0.00763162,0.3599931,0.01,0,0,<class 'activation_function.Sigmoid'>,<function he_initializer at 0x7f2b324539d0>,"(25, 25)"
0.45824385,0.01595457,0.27061781,0.01,0,0.4,<class 'activation_function.TanH'>,<function xavier_initializer at 0x7f2b32453940>,"(30,)"
0.44296523,0.00215673,0.25397042,0.01,0,0.4,<class 'activation_function.TanH'>,<function xavier_initializer at 0x7f2b32453940>,"(10, 10)"
0.43732036,0.01019712,0.24836573,0.01,0,0.4,<class 'activation_function.Relu'>,<function xavier_initializer at 0x7f2b32453940>,"(30,)"
0.43816841,0.00926562,0.24668339,0.01,0,0.4,<class 'activation_function.TanH'>,<function xavier_initializer at 0x7f2b32453940>,"(20, 20)"
0.43694614,0.0060838,0.25077594,0.01,0,0.4,<class 'activation_function.TanH'>,<function xavier_initializer at 0x7f2b32453940>,"(25, 25)"
0.39404573,0.016149,0.20725102,0.01,0,0.4,<class 'activation_function.Relu'>,<function xavier_initializer at 0x7f2b32453940>,"(10, 10)"
0.39168854,0.01214931,0.2033555,0.01,0,0.4,<class 'activation_function.Relu'>,<function xavier_initializer at 0x7f2b32453940>,"(20, 20)"
0.36629945,0.01240621,0.18645882,0.01,0,0.4,<class 'activation_function.Relu'>,<function xavier_initializer at 0x7f2b32453940>,"(25, 25)"
0.528007,0.00912348,0.35777293,0.01,0,0.4,<class 'activation_function.Sigmoid'>,<function xavier_initializer at 0x7f2b32453940>,"(10, 10)"
0.45253208,0.00923159,0.26252505,0.01,0,0.4,<class 'activation_function.Sigmoid'>,<function xavier_initializer at 0x7f2b32453940>,"(30,)"
0.48240948,0.01870643,0.29718289,0.01,0,0.4,<class 'activation_function.TanH'>,<function he_initializer at 0x7f2b324539d0>,"(30,)"
0.51155606,0.00719515,0.35258269,0.01,0,0.4,<class 'activation_function.Sigmoid'>,<function xavier_initializer at 0x7f2b32453940>,"(20, 20)"
0.49055335,0.01091631,0.30828397,0.01,0,0.4,<class 'activation_function.Sigmoid'>,<function xavier_initializer at 0x7f2b32453940>,"(25, 25)"
0.45367482,0.00345067,0.26744732,0.01,0,0.4,<class 'activation_function.TanH'>,<function he_initializer at 0x7f2b324539d0>,"(10, 10)"
0.44973597,0.01071124,0.26376891,0.01,0,0.4,<class 'activation_function.Relu'>,<function he_initializer at 0x7f2b324539d0>,"(30,)"
0.43209179,0.01013099,0.24529377,0.01,0,0.4,<class 'activation_function.TanH'>,<function he_initializer at 0x7f2b324539d0>,"(20, 20)"
