accuracy_average_vl,accuracy_sd_vl,average_tr_error_best_vl,learning_rate,regularization,momentum,activation_hidden,weight_init,topology
0.46517956,0.0065838,0.27742584,0.01,0,0,<class 'activation_function.TanH'>,<function xavier_initializer at 0x7fe88758b940>,"(30,)"
0.48194157,0.0077218,0.30031014,0.01,0,0,<class 'activation_function.Relu'>,<function xavier_initializer at 0x7fe88758b940>,"(30,)"
0.44480931,0.01411159,0.25457478,0.01,0,0,<class 'activation_function.Relu'>,<function xavier_initializer at 0x7fe88758b940>,"(10, 10)"
0.3922471,0.01758764,0.20655271,0.01,0,0,<class 'activation_function.Relu'>,<function xavier_initializer at 0x7fe88758b940>,"(25, 25)"
0.46979246,0.01220489,0.28072229,0.01,0,0,<class 'activation_function.TanH'>,<function xavier_initializer at 0x7fe88758b940>,"(10, 10)"
0.3956433,0.01168453,0.21370707,0.01,0,0,<class 'activation_function.Relu'>,<function xavier_initializer at 0x7fe88758b940>,"(20, 20)"
0.44753632,0.00210806,0.25897312,0.01,0,0,<class 'activation_function.TanH'>,<function xavier_initializer at 0x7fe88758b940>,"(20, 20)"
0.44463176,0.00715026,0.25364664,0.01,0,0,<class 'activation_function.TanH'>,<function xavier_initializer at 0x7fe88758b940>,"(25, 25)"
0.48046971,0.00947951,0.28759561,0.01,0,0,<class 'activation_function.TanH'>,<function he_initializer at 0x7fe88758b9d0>,"(30,)"
0.4985362,0.01669159,0.30894792,0.01,0,0,<class 'activation_function.TanH'>,<function he_initializer at 0x7fe88758b9d0>,"(10, 10)"
0.50315921,0.01667209,0.32661403,0.01,0,0,<class 'activation_function.Relu'>,<function he_initializer at 0x7fe88758b9d0>,"(30,)"
0.49323055,0.01134096,0.32227155,0.01,0,0,<class 'activation_function.Relu'>,<function he_initializer at 0x7fe88758b9d0>,"(10, 10)"
0.47107993,0.0097679,0.27486678,0.01,0,0,<class 'activation_function.TanH'>,<function he_initializer at 0x7fe88758b9d0>,"(20, 20)"
0.43495778,0.01438987,0.25084712,0.01,0,0,<class 'activation_function.Relu'>,<function he_initializer at 0x7fe88758b9d0>,"(20, 20)"
0.39559881,0.00388021,0.21038214,0.01,0,0,<class 'activation_function.Relu'>,<function he_initializer at 0x7fe88758b9d0>,"(25, 25)"
0.47714192,0.00824191,0.29003081,0.01,0,0,<class 'activation_function.TanH'>,<function he_initializer at 0x7fe88758b9d0>,"(25, 25)"
0.46396706,0.00587378,0.27399171,0.01,0,0,<class 'activation_function.TanH'>,<function ranged_uniform_initializer at 0x7fe88758bb80>,"(30,)"
0.45925949,0.00368864,0.27522393,0.01,0,0,<class 'activation_function.TanH'>,<function ranged_uniform_initializer at 0x7fe88758bb80>,"(10, 10)"
0.46095972,0.01660791,0.2763954,0.01,0,0,<class 'activation_function.Relu'>,<function ranged_uniform_initializer at 0x7fe88758bb80>,"(30,)"
0.42365476,0.00303493,0.23112045,0.01,0,0,<class 'activation_function.TanH'>,<function ranged_uniform_initializer at 0x7fe88758bb80>,"(20, 20)"
0.40635977,0.01199391,0.22134319,0.01,0,0,<class 'activation_function.Relu'>,<function ranged_uniform_initializer at 0x7fe88758bb80>,"(10, 10)"
0.44870596,0.00472614,0.2592277,0.01,0,0,<class 'activation_function.TanH'>,<function ranged_uniform_initializer at 0x7fe88758bb80>,"(25, 25)"
0.39131116,0.00888105,0.20903039,0.01,0,0,<class 'activation_function.Relu'>,<function ranged_uniform_initializer at 0x7fe88758bb80>,"(20, 20)"
0.39096936,0.01379021,0.21019911,0.01,0,0,<class 'activation_function.Relu'>,<function ranged_uniform_initializer at 0x7fe88758bb80>,"(25, 25)"
0.45803977,0.01231908,0.27118135,0.01,0,0.4,<class 'activation_function.TanH'>,<function xavier_initializer at 0x7fe88758b940>,"(30,)"
0.44400605,0.00653524,0.25299329,0.01,0,0.4,<class 'activation_function.TanH'>,<function xavier_initializer at 0x7fe88758b940>,"(10, 10)"
0.4468401,0.00784002,0.255297,0.01,0,0.4,<class 'activation_function.Relu'>,<function xavier_initializer at 0x7fe88758b940>,"(30,)"
0.44018347,0.01041592,0.25383755,0.01,0,0.4,<class 'activation_function.TanH'>,<function xavier_initializer at 0x7fe88758b940>,"(20, 20)"
0.44322465,0.0044657,0.24697897,0.01,0,0.4,<class 'activation_function.TanH'>,<function xavier_initializer at 0x7fe88758b940>,"(25, 25)"
0.3860551,0.00520541,0.20360748,0.01,0,0.4,<class 'activation_function.Relu'>,<function xavier_initializer at 0x7fe88758b940>,"(10, 10)"
0.35896778,0.01634306,0.18071772,0.01,0,0.4,<class 'activation_function.Relu'>,<function xavier_initializer at 0x7fe88758b940>,"(20, 20)"
0.38334146,0.01682061,0.20016365,0.01,0,0.4,<class 'activation_function.Relu'>,<function xavier_initializer at 0x7fe88758b940>,"(25, 25)"
0.46259434,0.00934783,0.27116973,0.01,0,0.4,<class 'activation_function.TanH'>,<function he_initializer at 0x7fe88758b9d0>,"(30,)"
0.44896091,0.0085069,0.2669775,0.01,0,0.4,<class 'activation_function.TanH'>,<function he_initializer at 0x7fe88758b9d0>,"(10, 10)"
0.45372459,0.00947348,0.26467292,0.01,0,0.4,<class 'activation_function.Relu'>,<function he_initializer at 0x7fe88758b9d0>,"(30,)"
0.46304109,0.0103683,0.27002498,0.01,0,0.4,<class 'activation_function.TanH'>,<function he_initializer at 0x7fe88758b9d0>,"(20, 20)"
0.43472842,0.01165856,0.25170904,0.01,0,0.4,<class 'activation_function.Relu'>,<function he_initializer at 0x7fe88758b9d0>,"(10, 10)"
0.45216701,0.00897383,0.25669356,0.01,0,0.4,<class 'activation_function.TanH'>,<function he_initializer at 0x7fe88758b9d0>,"(25, 25)"
0.42464935,0.00518904,0.2308686,0.01,0,0.4,<class 'activation_function.Relu'>,<function he_initializer at 0x7fe88758b9d0>,"(20, 20)"
0.39717453,0.00832529,0.20376349,0.01,0,0.4,<class 'activation_function.Relu'>,<function he_initializer at 0x7fe88758b9d0>,"(25, 25)"
0.44422857,0.00477201,0.25373555,0.01,0,0.4,<class 'activation_function.TanH'>,<function ranged_uniform_initializer at 0x7fe88758bb80>,"(30,)"
0.45813462,0.01470322,0.27225934,0.01,0,0.4,<class 'activation_function.TanH'>,<function ranged_uniform_initializer at 0x7fe88758bb80>,"(10, 10)"
0.44281691,0.00695135,0.25176558,0.01,0,0.4,<class 'activation_function.Relu'>,<function ranged_uniform_initializer at 0x7fe88758bb80>,"(30,)"
0.40817479,0.00854817,0.21739131,0.01,0,0.4,<class 'activation_function.TanH'>,<function ranged_uniform_initializer at 0x7fe88758bb80>,"(20, 20)"
0.40960929,0.00698885,0.22722594,0.01,0,0.4,<class 'activation_function.Relu'>,<function ranged_uniform_initializer at 0x7fe88758bb80>,"(10, 10)"
0.43277547,0.01124172,0.2410772,0.01,0,0.4,<class 'activation_function.TanH'>,<function ranged_uniform_initializer at 0x7fe88758bb80>,"(25, 25)"
0.37255732,0.01460593,0.18627722,0.01,0,0.4,<class 'activation_function.Relu'>,<function ranged_uniform_initializer at 0x7fe88758bb80>,"(20, 20)"
0.39034338,0.01453098,0.20039433,0.01,0,0.4,<class 'activation_function.Relu'>,<function ranged_uniform_initializer at 0x7fe88758bb80>,"(25, 25)"
0.44111894,0.01150735,0.25076824,0.01,0,0.8,<class 'activation_function.TanH'>,<function xavier_initializer at 0x7fe88758b940>,"(30,)"
0.47684128,0.00785031,0.28211464,0.01,0,0.8,<class 'activation_function.TanH'>,<function xavier_initializer at 0x7fe88758b940>,"(10, 10)"
0.43861812,0.0101337,0.24917382,0.01,0,0.8,<class 'activation_function.Relu'>,<function xavier_initializer at 0x7fe88758b940>,"(30,)"
0.35702332,0.01608532,0.18100789,0.01,0,0.8,<class 'activation_function.Relu'>,<function xavier_initializer at 0x7fe88758b940>,"(10, 10)"
0.43739538,0.00561282,0.24711255,0.01,0,0.8,<class 'activation_function.TanH'>,<function xavier_initializer at 0x7fe88758b940>,"(20, 20)"
0.42245258,0.00688559,0.2302673,0.01,0,0.8,<class 'activation_function.TanH'>,<function xavier_initializer at 0x7fe88758b940>,"(25, 25)"
0.43779557,0.01046988,0.24902477,0.01,0,0.8,<class 'activation_function.TanH'>,<function he_initializer at 0x7fe88758b9d0>,"(30,)"
0.37690967,0.01226571,0.19152584,0.01,0,0.8,<class 'activation_function.Relu'>,<function xavier_initializer at 0x7fe88758b940>,"(20, 20)"
0.37457681,0.01180298,0.18491429,0.01,0,0.8,<class 'activation_function.Relu'>,<function xavier_initializer at 0x7fe88758b940>,"(25, 25)"
0.43649188,0.00740978,0.25025033,0.01,0,0.8,<class 'activation_function.TanH'>,<function he_initializer at 0x7fe88758b9d0>,"(10, 10)"
0.44046702,0.0143756,0.25028173,0.01,0,0.8,<class 'activation_function.Relu'>,<function he_initializer at 0x7fe88758b9d0>,"(30,)"
0.44626208,0.00493788,0.2539207,0.01,0,0.8,<class 'activation_function.TanH'>,<function he_initializer at 0x7fe88758b9d0>,"(20, 20)"
0.47711102,0.00944931,0.29069871,0.01,0,0.8,<class 'activation_function.Relu'>,<function he_initializer at 0x7fe88758b9d0>,"(10, 10)"
0.43581622,0.01045748,0.24586958,0.01,0,0.8,<class 'activation_function.TanH'>,<function ranged_uniform_initializer at 0x7fe88758bb80>,"(30,)"
0.38691311,0.01038765,0.19919838,0.01,0,0.8,<class 'activation_function.Relu'>,<function he_initializer at 0x7fe88758b9d0>,"(20, 20)"
0.43071944,0.01060366,0.24211203,0.01,0,0.8,<class 'activation_function.TanH'>,<function he_initializer at 0x7fe88758b9d0>,"(25, 25)"
0.38643035,0.00916965,0.19794833,0.01,0,0.8,<class 'activation_function.Relu'>,<function he_initializer at 0x7fe88758b9d0>,"(25, 25)"
0.40420802,0.00391464,0.21266967,0.01,0,0.8,<class 'activation_function.TanH'>,<function ranged_uniform_initializer at 0x7fe88758bb80>,"(10, 10)"
0.43756093,0.01053417,0.24795469,0.01,0,0.8,<class 'activation_function.Relu'>,<function ranged_uniform_initializer at 0x7fe88758bb80>,"(30,)"
0.37361265,0.0067787,0.18380813,0.01,0,0.8,<class 'activation_function.TanH'>,<function ranged_uniform_initializer at 0x7fe88758bb80>,"(20, 20)"
0.47284751,0.01184687,0.30076118,0.01,0.005,0,<class 'activation_function.TanH'>,<function xavier_initializer at 0x7fe88758b940>,"(30,)"
0.37999499,0.0031869,0.20041373,0.01,0,0.8,<class 'activation_function.Relu'>,<function ranged_uniform_initializer at 0x7fe88758bb80>,"(10, 10)"
0.35449492,0.01142584,0.17348246,0.01,0,0.8,<class 'activation_function.Relu'>,<function ranged_uniform_initializer at 0x7fe88758bb80>,"(20, 20)"
0.38796516,0.00557756,0.20131802,0.01,0,0.8,<class 'activation_function.TanH'>,<function ranged_uniform_initializer at 0x7fe88758bb80>,"(25, 25)"
0.34743489,0.01176797,0.16965291,0.01,0,0.8,<class 'activation_function.Relu'>,<function ranged_uniform_initializer at 0x7fe88758bb80>,"(25, 25)"
0.64697446,0.01517754,0.50267233,0.01,0.005,0,<class 'activation_function.TanH'>,<function xavier_initializer at 0x7fe88758b940>,"(10, 10)"
0.47015778,0.0115826,0.29288365,0.01,0.005,0,<class 'activation_function.Relu'>,<function xavier_initializer at 0x7fe88758b940>,"(30,)"
0.62286689,0.0150564,0.38572011,0.01,0.005,0,<class 'activation_function.TanH'>,<function xavier_initializer at 0x7fe88758b940>,"(20, 20)"
0.63948776,0.01541075,0.51876519,0.01,0.005,0,<class 'activation_function.Relu'>,<function xavier_initializer at 0x7fe88758b940>,"(10, 10)"
0.47190871,0.01215577,0.29992828,0.01,0.005,0,<class 'activation_function.TanH'>,<function he_initializer at 0x7fe88758b9d0>,"(30,)"
0.61149823,0.01417822,0.36412098,0.01,0.005,0,<class 'activation_function.TanH'>,<function xavier_initializer at 0x7fe88758b940>,"(25, 25)"
0.64665712,0.01571638,0.52973127,0.01,0.005,0,<class 'activation_function.Relu'>,<function xavier_initializer at 0x7fe88758b940>,"(20, 20)"
0.64120864,0.01628305,0.52242042,0.01,0.005,0,<class 'activation_function.Relu'>,<function xavier_initializer at 0x7fe88758b940>,"(25, 25)"
0.64596694,0.01605944,0.54085199,0.01,0.005,0,<class 'activation_function.TanH'>,<function he_initializer at 0x7fe88758b9d0>,"(10, 10)"
0.47167091,0.01165913,0.29969165,0.01,0.005,0,<class 'activation_function.Relu'>,<function he_initializer at 0x7fe88758b9d0>,"(30,)"
0.61972924,0.01481289,0.38308214,0.01,0.005,0,<class 'activation_function.TanH'>,<function he_initializer at 0x7fe88758b9d0>,"(20, 20)"
0.47220166,0.01173588,0.3005313,0.01,0.005,0,<class 'activation_function.TanH'>,<function ranged_uniform_initializer at 0x7fe88758bb80>,"(30,)"
0.64992611,0.0161028,0.52721147,0.01,0.005,0,<class 'activation_function.Relu'>,<function he_initializer at 0x7fe88758b9d0>,"(10, 10)"
0.60275594,0.01514537,0.3534117,0.01,0.005,0,<class 'activation_function.TanH'>,<function he_initializer at 0x7fe88758b9d0>,"(25, 25)"
0.65132013,0.01589071,0.51423627,0.01,0.005,0,<class 'activation_function.Relu'>,<function he_initializer at 0x7fe88758b9d0>,"(20, 20)"
0.63188709,0.0162098,0.3835648,0.01,0.005,0,<class 'activation_function.Relu'>,<function he_initializer at 0x7fe88758b9d0>,"(25, 25)"
0.65062405,0.01417994,0.52021226,0.01,0.005,0,<class 'activation_function.TanH'>,<function ranged_uniform_initializer at 0x7fe88758bb80>,"(10, 10)"
0.47261102,0.01169179,0.30079465,0.01,0.005,0,<class 'activation_function.Relu'>,<function ranged_uniform_initializer at 0x7fe88758bb80>,"(30,)"
0.62166444,0.01450326,0.37748838,0.01,0.005,0,<class 'activation_function.TanH'>,<function ranged_uniform_initializer at 0x7fe88758bb80>,"(20, 20)"
0.76035206,0.01791409,0.7120476,0.01,0.005,0,<class 'activation_function.Relu'>,<function ranged_uniform_initializer at 0x7fe88758bb80>,"(10, 10)"
0.61113762,0.01529587,0.38286586,0.01,0.005,0,<class 'activation_function.TanH'>,<function ranged_uniform_initializer at 0x7fe88758bb80>,"(25, 25)"
0.45675234,0.0112509,0.27881231,0.01,0.005,0.4,<class 'activation_function.TanH'>,<function xavier_initializer at 0x7fe88758b940>,"(30,)"
0.61692793,0.01437824,0.49632981,0.01,0.005,0,<class 'activation_function.Relu'>,<function ranged_uniform_initializer at 0x7fe88758bb80>,"(20, 20)"
0.63182216,0.014625,0.45460332,0.01,0.005,0,<class 'activation_function.Relu'>,<function ranged_uniform_initializer at 0x7fe88758bb80>,"(25, 25)"
0.56707361,0.01293174,0.434285,0.01,0.005,0.4,<class 'activation_function.TanH'>,<function xavier_initializer at 0x7fe88758b940>,"(10, 10)"
0.45698702,0.011074,0.27893949,0.01,0.005,0.4,<class 'activation_function.Relu'>,<function xavier_initializer at 0x7fe88758b940>,"(30,)"
0.54976337,0.01287486,0.36752355,0.01,0.005,0.4,<class 'activation_function.TanH'>,<function xavier_initializer at 0x7fe88758b940>,"(20, 20)"
0.51977179,0.01129051,0.35994772,0.01,0.005,0.4,<class 'activation_function.Relu'>,<function xavier_initializer at 0x7fe88758b940>,"(10, 10)"
0.54595146,0.01333415,0.36570778,0.01,0.005,0.4,<class 'activation_function.TanH'>,<function xavier_initializer at 0x7fe88758b940>,"(25, 25)"
0.52910619,0.011252,0.36811182,0.01,0.005,0.4,<class 'activation_function.Relu'>,<function xavier_initializer at 0x7fe88758b940>,"(20, 20)"
0.45602385,0.01160833,0.27839981,0.01,0.005,0.4,<class 'activation_function.TanH'>,<function he_initializer at 0x7fe88758b9d0>,"(30,)"
0.53257611,0.0121185,0.37154349,0.01,0.005,0.4,<class 'activation_function.Relu'>,<function xavier_initializer at 0x7fe88758b940>,"(25, 25)"
0.56200021,0.01299513,0.36751482,0.01,0.005,0.4,<class 'activation_function.TanH'>,<function he_initializer at 0x7fe88758b9d0>,"(10, 10)"
0.45700446,0.01066139,0.27927121,0.01,0.005,0.4,<class 'activation_function.Relu'>,<function he_initializer at 0x7fe88758b9d0>,"(30,)"
0.54811209,0.01258594,0.34621171,0.01,0.005,0.4,<class 'activation_function.TanH'>,<function he_initializer at 0x7fe88758b9d0>,"(20, 20)"
0.52571269,0.01240713,0.36965343,0.01,0.005,0.4,<class 'activation_function.Relu'>,<function he_initializer at 0x7fe88758b9d0>,"(10, 10)"
0.5450912,0.01278937,0.33347359,0.01,0.005,0.4,<class 'activation_function.TanH'>,<function he_initializer at 0x7fe88758b9d0>,"(25, 25)"
0.45677808,0.01117073,0.27889317,0.01,0.005,0.4,<class 'activation_function.TanH'>,<function ranged_uniform_initializer at 0x7fe88758bb80>,"(30,)"
0.53316664,0.0112679,0.35578801,0.01,0.005,0.4,<class 'activation_function.Relu'>,<function he_initializer at 0x7fe88758b9d0>,"(20, 20)"
0.53830135,0.01194884,0.33697042,0.01,0.005,0.4,<class 'activation_function.Relu'>,<function he_initializer at 0x7fe88758b9d0>,"(25, 25)"
0.56510229,0.01353265,0.434439,0.01,0.005,0.4,<class 'activation_function.TanH'>,<function ranged_uniform_initializer at 0x7fe88758bb80>,"(10, 10)"
0.45651908,0.01152202,0.27952118,0.01,0.005,0.4,<class 'activation_function.Relu'>,<function ranged_uniform_initializer at 0x7fe88758bb80>,"(30,)"
0.54463598,0.01310963,0.38161838,0.01,0.005,0.4,<class 'activation_function.TanH'>,<function ranged_uniform_initializer at 0x7fe88758bb80>,"(20, 20)"
0.44878297,0.01088117,0.26772599,0.01,0.005,0.8,<class 'activation_function.TanH'>,<function xavier_initializer at 0x7fe88758b940>,"(30,)"
0.52180296,0.01094817,0.3628964,0.01,0.005,0.4,<class 'activation_function.Relu'>,<function ranged_uniform_initializer at 0x7fe88758bb80>,"(10, 10)"
0.51689467,0.01285481,0.36260333,0.01,0.005,0.4,<class 'activation_function.Relu'>,<function ranged_uniform_initializer at 0x7fe88758bb80>,"(20, 20)"
0.53687944,0.0134634,0.32569308,0.01,0.005,0.4,<class 'activation_function.TanH'>,<function ranged_uniform_initializer at 0x7fe88758bb80>,"(25, 25)"
0.50323577,0.01246393,0.34508152,0.01,0.005,0.4,<class 'activation_function.Relu'>,<function ranged_uniform_initializer at 0x7fe88758bb80>,"(25, 25)"
0.51846438,0.01234576,0.36428407,0.01,0.005,0.8,<class 'activation_function.TanH'>,<function xavier_initializer at 0x7fe88758b940>,"(10, 10)"
0.44841962,0.01084268,0.26755008,0.01,0.005,0.8,<class 'activation_function.Relu'>,<function xavier_initializer at 0x7fe88758b940>,"(30,)"
0.5106357,0.01116761,0.33707788,0.01,0.005,0.8,<class 'activation_function.TanH'>,<function xavier_initializer at 0x7fe88758b940>,"(20, 20)"
0.44891763,0.0109464,0.26829472,0.01,0.005,0.8,<class 'activation_function.TanH'>,<function he_initializer at 0x7fe88758b9d0>,"(30,)"
0.47167875,0.00825463,0.30194242,0.01,0.005,0.8,<class 'activation_function.Relu'>,<function xavier_initializer at 0x7fe88758b940>,"(10, 10)"
0.50746773,0.01215649,0.33407261,0.01,0.005,0.8,<class 'activation_function.TanH'>,<function xavier_initializer at 0x7fe88758b940>,"(25, 25)"
0.46295883,0.00858036,0.29381919,0.01,0.005,0.8,<class 'activation_function.Relu'>,<function xavier_initializer at 0x7fe88758b940>,"(20, 20)"
0.46566656,0.00843839,0.29459903,0.01,0.005,0.8,<class 'activation_function.Relu'>,<function xavier_initializer at 0x7fe88758b940>,"(25, 25)"
0.52212411,0.01253696,0.36986798,0.01,0.005,0.8,<class 'activation_function.TanH'>,<function he_initializer at 0x7fe88758b9d0>,"(10, 10)"
0.44917605,0.01076256,0.26793105,0.01,0.005,0.8,<class 'activation_function.Relu'>,<function he_initializer at 0x7fe88758b9d0>,"(30,)"
0.50622084,0.01168201,0.31662409,0.01,0.005,0.8,<class 'activation_function.TanH'>,<function he_initializer at 0x7fe88758b9d0>,"(20, 20)"
0.46639104,0.00815397,0.29728871,0.01,0.005,0.8,<class 'activation_function.Relu'>,<function he_initializer at 0x7fe88758b9d0>,"(10, 10)"
0.44859754,0.01076389,0.26769548,0.01,0.005,0.8,<class 'activation_function.TanH'>,<function ranged_uniform_initializer at 0x7fe88758bb80>,"(30,)"
0.50598342,0.01081948,0.31276681,0.01,0.005,0.8,<class 'activation_function.TanH'>,<function he_initializer at 0x7fe88758b9d0>,"(25, 25)"
0.47134722,0.00879243,0.30242832,0.01,0.005,0.8,<class 'activation_function.Relu'>,<function he_initializer at 0x7fe88758b9d0>,"(20, 20)"
0.46726037,0.01023415,0.29833467,0.01,0.005,0.8,<class 'activation_function.Relu'>,<function he_initializer at 0x7fe88758b9d0>,"(25, 25)"
0.50240815,0.01083051,0.34658719,0.01,0.005,0.8,<class 'activation_function.TanH'>,<function ranged_uniform_initializer at 0x7fe88758bb80>,"(10, 10)"
0.44854002,0.01094858,0.26740422,0.01,0.005,0.8,<class 'activation_function.Relu'>,<function ranged_uniform_initializer at 0x7fe88758bb80>,"(30,)"
0.49576912,0.01110062,0.30946817,0.01,0.005,0.8,<class 'activation_function.TanH'>,<function ranged_uniform_initializer at 0x7fe88758bb80>,"(20, 20)"
0.52443102,0.0132206,0.37399827,0.01,0.01,0,<class 'activation_function.TanH'>,<function xavier_initializer at 0x7fe88758b940>,"(30,)"
0.45030663,0.01047295,0.28374736,0.01,0.005,0.8,<class 'activation_function.Relu'>,<function ranged_uniform_initializer at 0x7fe88758bb80>,"(10, 10)"
0.4905201,0.01165998,0.30133485,0.01,0.005,0.8,<class 'activation_function.TanH'>,<function ranged_uniform_initializer at 0x7fe88758bb80>,"(25, 25)"
0.45355623,0.00995022,0.28883973,0.01,0.005,0.8,<class 'activation_function.Relu'>,<function ranged_uniform_initializer at 0x7fe88758bb80>,"(20, 20)"
0.45410448,0.01125596,0.29380067,0.01,0.005,0.8,<class 'activation_function.Relu'>,<function ranged_uniform_initializer at 0x7fe88758bb80>,"(25, 25)"
0.86687034,0.02423189,0.89271712,0.01,0.01,0,<class 'activation_function.TanH'>,<function xavier_initializer at 0x7fe88758b940>,"(10, 10)"
0.52432024,0.01321529,0.37363949,0.01,0.01,0,<class 'activation_function.Relu'>,<function xavier_initializer at 0x7fe88758b940>,"(30,)"
0.84478954,0.02296528,0.59304167,0.01,0.01,0,<class 'activation_function.TanH'>,<function xavier_initializer at 0x7fe88758b940>,"(20, 20)"
0.90862873,0.0283286,0.99289107,0.01,0.01,0,<class 'activation_function.Relu'>,<function xavier_initializer at 0x7fe88758b940>,"(10, 10)"
