accuracy_average_vl,accuracy_sd_vl,average_tr_error_best_vl,learning_rate,regularization,momentum,activation_hidden,weight_init,topology
0.34417236,0.00473357,0.15811182,0.08,0,0.4,<class 'activation_function.TanH'>,<function xavier_initializer at 0x7fe5d5d1da60>,"(20, 20)"
0.32458546,0.00720146,0.14682897,0.08,0,0.4,<class 'activation_function.TanH'>,<function xavier_initializer at 0x7fe5d5d1da60>,"(10, 10)"
0.3388546,0.00840561,0.15476282,0.08,0,0.4,<class 'activation_function.TanH'>,<function xavier_initializer at 0x7fe5d5d1da60>,"(25, 25)"
0.30753934,0.01560238,0.13971159,0.08,0,0.4,<class 'activation_function.Relu'>,<function xavier_initializer at 0x7fe5d5d1da60>,"(10, 10)"
0.30130568,0.01166321,0.13377189,0.08,0,0.4,<class 'activation_function.TanH'>,<function xavier_initializer at 0x7fe5d5d1da60>,"(5, 5, 5)"
0.32563584,0.01658212,0.15293224,0.08,0,0.4,<class 'activation_function.Relu'>,<function xavier_initializer at 0x7fe5d5d1da60>,"(5, 5, 5)"
0.32123222,0.00658327,0.14419331,0.08,0,0.4,<class 'activation_function.TanH'>,<function ranged_uniform_initializer at 0x7fe5d5d1dca0>,"(10, 10)"
0.31496061,0.01386623,0.13822321,0.08,0,0.4,<class 'activation_function.Relu'>,<function xavier_initializer at 0x7fe5d5d1da60>,"(20, 20)"
0.32439598,0.01666108,0.14460178,0.08,0,0.4,<class 'activation_function.Relu'>,<function xavier_initializer at 0x7fe5d5d1da60>,"(25, 25)"
0.306347,0.00672634,0.13867455,0.08,0,0.4,<class 'activation_function.TanH'>,<function ranged_uniform_initializer at 0x7fe5d5d1dca0>,"(5, 5, 5)"
0.3083231,0.00602948,0.13370466,0.08,0,0.4,<class 'activation_function.TanH'>,<function ranged_uniform_initializer at 0x7fe5d5d1dca0>,"(25, 25)"
0.31986861,0.01168819,0.14509486,0.08,0,0.4,<class 'activation_function.Relu'>,<function ranged_uniform_initializer at 0x7fe5d5d1dca0>,"(10, 10)"
0.31319025,0.0123708,0.13843323,0.08,0,0.4,<class 'activation_function.TanH'>,<function ranged_uniform_initializer at 0x7fe5d5d1dca0>,"(20, 20)"
0.30366249,0.01529145,0.14276705,0.08,0,0.4,<class 'activation_function.Relu'>,<function ranged_uniform_initializer at 0x7fe5d5d1dca0>,"(5, 5, 5)"
0.32535914,0.00837015,0.14872589,0.08,0,0.8,<class 'activation_function.TanH'>,<function xavier_initializer at 0x7fe5d5d1da60>,"(10, 10)"
0.29396299,0.01681013,0.12651364,0.08,0,0.8,<class 'activation_function.TanH'>,<function xavier_initializer at 0x7fe5d5d1da60>,"(5, 5, 5)"
0.32495801,0.01430744,0.14141165,0.08,0,0.4,<class 'activation_function.Relu'>,<function ranged_uniform_initializer at 0x7fe5d5d1dca0>,"(20, 20)"
0.31397788,0.01537399,0.13499889,0.08,0,0.4,<class 'activation_function.Relu'>,<function ranged_uniform_initializer at 0x7fe5d5d1dca0>,"(25, 25)"
0.32554165,0.00843589,0.14338707,0.08,0,0.8,<class 'activation_function.TanH'>,<function xavier_initializer at 0x7fe5d5d1da60>,"(20, 20)"
0.31948384,0.00618784,0.141324,0.08,0,0.8,<class 'activation_function.TanH'>,<function xavier_initializer at 0x7fe5d5d1da60>,"(25, 25)"
0.30761651,0.01392077,0.14066845,0.08,0,0.8,<class 'activation_function.Relu'>,<function xavier_initializer at 0x7fe5d5d1da60>,"(10, 10)"
0.31265968,0.01143313,0.13952109,0.08,0,0.8,<class 'activation_function.Relu'>,<function xavier_initializer at 0x7fe5d5d1da60>,"(20, 20)"
0.31363347,0.01064926,0.14062166,0.08,0,0.8,<class 'activation_function.TanH'>,<function ranged_uniform_initializer at 0x7fe5d5d1dca0>,"(10, 10)"
0.30952591,0.02013057,0.13473447,0.08,0,0.8,<class 'activation_function.Relu'>,<function xavier_initializer at 0x7fe5d5d1da60>,"(25, 25)"
0.30191598,0.01229984,0.13588442,0.08,0,0.8,<class 'activation_function.Relu'>,<function xavier_initializer at 0x7fe5d5d1da60>,"(5, 5, 5)"
0.28254952,0.00935425,0.12116159,0.08,0,0.8,<class 'activation_function.TanH'>,<function ranged_uniform_initializer at 0x7fe5d5d1dca0>,"(5, 5, 5)"
0.31830314,0.00967596,0.14083786,0.08,0,0.8,<class 'activation_function.TanH'>,<function ranged_uniform_initializer at 0x7fe5d5d1dca0>,"(20, 20)"
0.31041165,0.01596462,0.14509662,0.08,0,0.8,<class 'activation_function.Relu'>,<function ranged_uniform_initializer at 0x7fe5d5d1dca0>,"(5, 5, 5)"
