accuracy_average_vl,accuracy_sd_vl,average_tr_error_best_vl,learning_rate,regularization,momentum,activation_hidden,weight_init,topology
0.42958634,0.007423,0.23950772,0.01,0,0,<class 'activation_function.Relu'>,<function xavier_initializer at 0x0000026DFFDA3EE0>,"(15,)"
0.42997113,0.00737828,0.23904812,0.01,0,0,<class 'activation_function.TanH'>,<function xavier_initializer at 0x0000026DFFDA3EE0>,"(15,)"
0.30387239,0.01877177,0.1332038,0.01,0,0,<class 'activation_function.Relu'>,<function xavier_initializer at 0x0000026DFFDA3EE0>,"(10, 10)"
0.30171881,0.01169507,0.12885774,0.01,0,0,<class 'activation_function.TanH'>,<function xavier_initializer at 0x0000026DFFDA3EE0>,"(10, 10)"
0.31286408,0.00798135,0.13120299,0.01,0,0,<class 'activation_function.TanH'>,<function xavier_initializer at 0x0000026DFFDA3EE0>,"(20, 20)"
0.42973438,0.00762209,0.2387521,0.01,0,0,<class 'activation_function.TanH'>,<function he_initializer at 0x0000026DFFDA3F70>,"(15,)"
0.3045881,0.01525033,0.12920612,0.01,0,0,<class 'activation_function.Relu'>,<function xavier_initializer at 0x0000026DFFDA3EE0>,"(20, 20)"
0.30511714,0.01161001,0.12978863,0.01,0,0,<class 'activation_function.TanH'>,<function he_initializer at 0x0000026DFFDA3F70>,"(10, 10)"
0.31169074,0.01383959,0.13880745,0.01,0,0,<class 'activation_function.Relu'>,<function he_initializer at 0x0000026DFFDA3F70>,"(10, 10)"
0.30992267,0.00830042,0.12863083,0.01,0,0,<class 'activation_function.TanH'>,<function he_initializer at 0x0000026DFFDA3F70>,"(20, 20)"
0.4298298,0.00739593,0.23925293,0.01,0,0,<class 'activation_function.Relu'>,<function he_initializer at 0x0000026DFFDA3F70>,"(15,)"
0.30966117,0.01437633,0.13505829,0.01,0,0,<class 'activation_function.Relu'>,<function he_initializer at 0x0000026DFFDA3F70>,"(20, 20)"
0.43042917,0.00769663,0.23921986,0.01,0,0.4,<class 'activation_function.TanH'>,<function xavier_initializer at 0x0000026DFFDA3EE0>,"(15,)"
0.29247731,0.00673197,0.12169657,0.01,0,0.4,<class 'activation_function.TanH'>,<function xavier_initializer at 0x0000026DFFDA3EE0>,"(10, 10)"
0.29673558,0.01393102,0.13279132,0.01,0,0.4,<class 'activation_function.Relu'>,<function xavier_initializer at 0x0000026DFFDA3EE0>,"(10, 10)"
0.42969929,0.00725109,0.23931188,0.01,0,0.4,<class 'activation_function.Relu'>,<function xavier_initializer at 0x0000026DFFDA3EE0>,"(15,)"
0.28799915,0.01226237,0.11565497,0.01,0,0.4,<class 'activation_function.TanH'>,<function xavier_initializer at 0x0000026DFFDA3EE0>,"(20, 20)"
0.30128078,0.01036919,0.1274893,0.01,0,0.4,<class 'activation_function.Relu'>,<function xavier_initializer at 0x0000026DFFDA3EE0>,"(20, 20)"
0.30260679,0.01107461,0.12847643,0.01,0,0.4,<class 'activation_function.TanH'>,<function he_initializer at 0x0000026DFFDA3F70>,"(10, 10)"
0.42988777,0.00761615,0.23926053,0.01,0,0.4,<class 'activation_function.TanH'>,<function he_initializer at 0x0000026DFFDA3F70>,"(15,)"
0.30843124,0.01165388,0.1363672,0.01,0,0.4,<class 'activation_function.Relu'>,<function he_initializer at 0x0000026DFFDA3F70>,"(10, 10)"
0.42970252,0.00752786,0.23922195,0.01,0,0.4,<class 'activation_function.Relu'>,<function he_initializer at 0x0000026DFFDA3F70>,"(15,)"
0.29620213,0.00800378,0.11854185,0.01,0,0.4,<class 'activation_function.TanH'>,<function he_initializer at 0x0000026DFFDA3F70>,"(20, 20)"
0.30292723,0.01514863,0.12783599,0.01,0,0.4,<class 'activation_function.Relu'>,<function he_initializer at 0x0000026DFFDA3F70>,"(20, 20)"
0.28847851,0.00863858,0.1203338,0.01,0,0.8,<class 'activation_function.TanH'>,<function xavier_initializer at 0x0000026DFFDA3EE0>,"(10, 10)"
0.42970529,0.00744464,0.23950567,0.01,0,0.8,<class 'activation_function.TanH'>,<function xavier_initializer at 0x0000026DFFDA3EE0>,"(15,)"
0.29385943,0.01595417,0.12887372,0.01,0,0.8,<class 'activation_function.Relu'>,<function xavier_initializer at 0x0000026DFFDA3EE0>,"(10, 10)"
0.4297383,0.00762955,0.23920093,0.01,0,0.8,<class 'activation_function.Relu'>,<function xavier_initializer at 0x0000026DFFDA3EE0>,"(15,)"
0.29259995,0.00839751,0.11407799,0.01,0,0.8,<class 'activation_function.TanH'>,<function xavier_initializer at 0x0000026DFFDA3EE0>,"(20, 20)"
0.30202878,0.01534507,0.12028453,0.01,0,0.8,<class 'activation_function.Relu'>,<function xavier_initializer at 0x0000026DFFDA3EE0>,"(20, 20)"
0.29150106,0.00758405,0.12273438,0.01,0,0.8,<class 'activation_function.TanH'>,<function he_initializer at 0x0000026DFFDA3F70>,"(10, 10)"
0.42994006,0.00718122,0.23907596,0.01,0,0.8,<class 'activation_function.TanH'>,<function he_initializer at 0x0000026DFFDA3F70>,"(15,)"
0.30449278,0.01232352,0.13727742,0.01,0,0.8,<class 'activation_function.Relu'>,<function he_initializer at 0x0000026DFFDA3F70>,"(10, 10)"
