accuracy_average_vl,accuracy_sd_vl,average_tr_error_best_vl,learning_rate,regularization,momentum,activation_hidden,weight_init,topology
0.52989275,0.02638373,0.39316154,0.01,0,0,<class 'activation_function.Relu'>,<function xavier_initializer at 0x000002077FF83EE0>,"(5, 5, 5)"
0.54844135,0.00794558,0.36932383,0.01,0,0,<class 'activation_function.TanH'>,<function xavier_initializer at 0x000002077FF83EE0>,"(5, 5, 5)"
0.44756931,0.00180864,0.26092414,0.01,0,0,<class 'activation_function.TanH'>,<function xavier_initializer at 0x000002077FF83EE0>,"(10, 10, 10)"
0.44044742,0.00933159,0.2567501,0.01,0,0,<class 'activation_function.TanH'>,<function xavier_initializer at 0x000002077FF83EE0>,"(15, 15, 15)"
0.45304216,0.00944936,0.26287671,0.01,0,0,<class 'activation_function.TanH'>,<function xavier_initializer at 0x000002077FF83EE0>,"(10, 20, 20)"
0.44620906,0.00981109,0.26127435,0.01,0,0,<class 'activation_function.Relu'>,<function xavier_initializer at 0x000002077FF83EE0>,"(10, 10, 10)"
0.4430022,0.01716289,0.26066603,0.01,0,0,<class 'activation_function.Relu'>,<function xavier_initializer at 0x000002077FF83EE0>,"(15, 15, 15)"
1.06440839,0.03125057,1.35319616,0.01,0,0,<class 'activation_function.Sigmoid'>,<function xavier_initializer at 0x000002077FF83EE0>,"(5, 5, 5)"
0.38399388,0.00675201,0.20179904,0.01,0,0,<class 'activation_function.Relu'>,<function xavier_initializer at 0x000002077FF83EE0>,"(10, 20, 20)"
1.15392477,0.03330624,1.5591643,0.01,0,0,<class 'activation_function.Sigmoid'>,<function xavier_initializer at 0x000002077FF83EE0>,"(10, 10, 10)"
0.97207188,0.03250341,1.19145757,0.01,0,0,<class 'activation_function.Sigmoid'>,<function xavier_initializer at 0x000002077FF83EE0>,"(15, 15, 15)"
0.87100186,0.02508643,0.96410927,0.01,0,0,<class 'activation_function.Sigmoid'>,<function xavier_initializer at 0x000002077FF83EE0>,"(10, 20, 20)"
0.51261496,0.01328225,0.34319299,0.01,0,0,<class 'activation_function.TanH'>,<function he_initializer at 0x000002077FF83F70>,"(5, 5, 5)"
0.474071,0.00411867,0.28944727,0.01,0,0,<class 'activation_function.TanH'>,<function he_initializer at 0x000002077FF83F70>,"(10, 10, 10)"
0.47766296,0.00919002,0.29237997,0.01,0,0,<class 'activation_function.TanH'>,<function he_initializer at 0x000002077FF83F70>,"(15, 15, 15)"
0.44771559,0.01247978,0.26675673,0.01,0,0,<class 'activation_function.Relu'>,<function he_initializer at 0x000002077FF83F70>,"(5, 5, 5)"
0.47215276,0.00558391,0.29042371,0.01,0,0,<class 'activation_function.Relu'>,<function he_initializer at 0x000002077FF83F70>,"(10, 10, 10)"
0.43261736,0.00726001,0.2415657,0.01,0,0,<class 'activation_function.TanH'>,<function he_initializer at 0x000002077FF83F70>,"(10, 20, 20)"
0.44043198,0.00627498,0.25141526,0.01,0,0,<class 'activation_function.Relu'>,<function he_initializer at 0x000002077FF83F70>,"(15, 15, 15)"
0.39221402,0.01332139,0.21118451,0.01,0,0,<class 'activation_function.Relu'>,<function he_initializer at 0x000002077FF83F70>,"(10, 20, 20)"
1.17572564,0.03367462,1.61631928,0.01,0,0,<class 'activation_function.Sigmoid'>,<function he_initializer at 0x000002077FF83F70>,"(5, 5, 5)"
1.01334128,0.0337917,1.25179873,0.01,0,0,<class 'activation_function.Sigmoid'>,<function he_initializer at 0x000002077FF83F70>,"(10, 10, 10)"
0.77519918,0.02361265,0.80359099,0.01,0,0,<class 'activation_function.Sigmoid'>,<function he_initializer at 0x000002077FF83F70>,"(15, 15, 15)"
0.76176903,0.01746271,0.77456475,0.01,0,0,<class 'activation_function.Sigmoid'>,<function he_initializer at 0x000002077FF83F70>,"(10, 20, 20)"
0.47315347,0.00676496,0.28547066,0.01,0,0.4,<class 'activation_function.TanH'>,<function xavier_initializer at 0x000002077FF83EE0>,"(5, 5, 5)"
0.47495923,0.00716442,0.28454083,0.01,0,0.4,<class 'activation_function.TanH'>,<function xavier_initializer at 0x000002077FF83EE0>,"(10, 10, 10)"
0.44555493,0.00639827,0.25370559,0.01,0,0.4,<class 'activation_function.TanH'>,<function xavier_initializer at 0x000002077FF83EE0>,"(15, 15, 15)"
0.43154551,0.00292159,0.24793359,0.01,0,0.4,<class 'activation_function.Relu'>,<function xavier_initializer at 0x000002077FF83EE0>,"(5, 5, 5)"
0.39590807,0.00919594,0.21061822,0.01,0,0.4,<class 'activation_function.Relu'>,<function xavier_initializer at 0x000002077FF83EE0>,"(10, 10, 10)"
0.4218555,0.00621017,0.2312222,0.01,0,0.4,<class 'activation_function.TanH'>,<function xavier_initializer at 0x000002077FF83EE0>,"(10, 20, 20)"
0.41224831,0.0043794,0.22459192,0.01,0,0.4,<class 'activation_function.Relu'>,<function xavier_initializer at 0x000002077FF83EE0>,"(15, 15, 15)"
1.1468542,0.03263084,1.5568394,0.01,0,0.4,<class 'activation_function.Sigmoid'>,<function xavier_initializer at 0x000002077FF83EE0>,"(5, 5, 5)"
0.37238122,0.01741979,0.18793683,0.01,0,0.4,<class 'activation_function.Relu'>,<function xavier_initializer at 0x000002077FF83EE0>,"(10, 20, 20)"
0.85732329,0.02408246,0.95366812,0.01,0,0.4,<class 'activation_function.Sigmoid'>,<function xavier_initializer at 0x000002077FF83EE0>,"(10, 10, 10)"
0.77825584,0.02108297,0.7868173,0.01,0,0.4,<class 'activation_function.Sigmoid'>,<function xavier_initializer at 0x000002077FF83EE0>,"(15, 15, 15)"
0.80109645,0.01804933,0.84856417,0.01,0,0.4,<class 'activation_function.Sigmoid'>,<function xavier_initializer at 0x000002077FF83EE0>,"(10, 20, 20)"
0.4733975,0.0063056,0.28589164,0.01,0,0.4,<class 'activation_function.TanH'>,<function he_initializer at 0x000002077FF83F70>,"(5, 5, 5)"
