accuracy_average_vl,accuracy_sd_vl,average_tr_error_best_vl,learning_rate,regularization,momentum,activation_hidden,weight_init,topology
0.42984224,0.00757014,0.238682,0.05,0,0.4,<class 'activation_function.Relu'>,<function xavier_initializer at 0x7f010d606a60>,"(30,)"
0.42986261,0.00754418,0.23866575,0.05,0,0.4,<class 'activation_function.TanH'>,<function xavier_initializer at 0x7f010d606a60>,"(30,)"
0.31389373,0.012261,0.15139032,0.05,0,0.4,<class 'activation_function.Relu'>,<function xavier_initializer at 0x7f010d606a60>,"(10, 10)"
0.32133264,0.01602498,0.14591859,0.05,0,0.4,<class 'activation_function.Relu'>,<function xavier_initializer at 0x7f010d606a60>,"(25, 25)"
0.319023,0.01232098,0.14519969,0.05,0,0.4,<class 'activation_function.Relu'>,<function xavier_initializer at 0x7f010d606a60>,"(20, 20)"
0.35209511,0.00470298,0.16650791,0.05,0,0.4,<class 'activation_function.TanH'>,<function xavier_initializer at 0x7f010d606a60>,"(10, 10)"
0.37512161,0.00535226,0.18130726,0.05,0,0.4,<class 'activation_function.TanH'>,<function xavier_initializer at 0x7f010d606a60>,"(25, 25)"
0.37763385,0.0074751,0.18522974,0.05,0,0.4,<class 'activation_function.TanH'>,<function xavier_initializer at 0x7f010d606a60>,"(20, 20)"
0.42983361,0.00755564,0.23881897,0.05,0,0.4,<class 'activation_function.TanH'>,<function ranged_uniform_initializer at 0x7f010d606ca0>,"(30,)"
0.36235907,0.00872976,0.17721426,0.05,0,0.4,<class 'activation_function.TanH'>,<function ranged_uniform_initializer at 0x7f010d606ca0>,"(10, 10)"
0.42985103,0.00759833,0.23944392,0.05,0,0.4,<class 'activation_function.Relu'>,<function ranged_uniform_initializer at 0x7f010d606ca0>,"(30,)"
0.32262493,0.01569544,0.14958439,0.05,0,0.4,<class 'activation_function.Relu'>,<function ranged_uniform_initializer at 0x7f010d606ca0>,"(10, 10)"
0.31438078,0.01015308,0.14096987,0.05,0,0.4,<class 'activation_function.Relu'>,<function ranged_uniform_initializer at 0x7f010d606ca0>,"(20, 20)"
0.33487386,0.00540165,0.15167891,0.05,0,0.4,<class 'activation_function.TanH'>,<function ranged_uniform_initializer at 0x7f010d606ca0>,"(20, 20)"
0.35000931,0.00992511,0.16367068,0.05,0,0.4,<class 'activation_function.TanH'>,<function ranged_uniform_initializer at 0x7f010d606ca0>,"(25, 25)"
0.32168741,0.01263459,0.14199098,0.05,0,0.4,<class 'activation_function.Relu'>,<function ranged_uniform_initializer at 0x7f010d606ca0>,"(25, 25)"
0.42984646,0.00754607,0.23897176,0.05,0,0.8,<class 'activation_function.TanH'>,<function xavier_initializer at 0x7f010d606a60>,"(30,)"
0.34191507,0.01074898,0.16006904,0.05,0,0.8,<class 'activation_function.TanH'>,<function xavier_initializer at 0x7f010d606a60>,"(10, 10)"
0.42984663,0.00755605,0.23864701,0.05,0,0.8,<class 'activation_function.Relu'>,<function xavier_initializer at 0x7f010d606a60>,"(30,)"
0.35557924,0.00575639,0.16736921,0.05,0,0.8,<class 'activation_function.TanH'>,<function xavier_initializer at 0x7f010d606a60>,"(20, 20)"
0.32006767,0.01046475,0.14789695,0.05,0,0.8,<class 'activation_function.Relu'>,<function xavier_initializer at 0x7f010d606a60>,"(10, 10)"
0.36590948,0.00976647,0.1754797,0.05,0,0.8,<class 'activation_function.TanH'>,<function xavier_initializer at 0x7f010d606a60>,"(25, 25)"
0.30872752,0.0129019,0.13654668,0.05,0,0.8,<class 'activation_function.Relu'>,<function xavier_initializer at 0x7f010d606a60>,"(20, 20)"
0.31845984,0.01352585,0.14233445,0.05,0,0.8,<class 'activation_function.Relu'>,<function xavier_initializer at 0x7f010d606a60>,"(25, 25)"
0.42985278,0.00754695,0.23927221,0.05,0,0.8,<class 'activation_function.TanH'>,<function ranged_uniform_initializer at 0x7f010d606ca0>,"(30,)"
0.33160892,0.00997873,0.15232317,0.05,0,0.8,<class 'activation_function.TanH'>,<function ranged_uniform_initializer at 0x7f010d606ca0>,"(10, 10)"
0.4298495,0.00755943,0.23912209,0.05,0,0.8,<class 'activation_function.Relu'>,<function ranged_uniform_initializer at 0x7f010d606ca0>,"(30,)"
0.32495289,0.00488001,0.14726983,0.05,0,0.8,<class 'activation_function.TanH'>,<function ranged_uniform_initializer at 0x7f010d606ca0>,"(20, 20)"
0.32014604,0.00911952,0.14578541,0.05,0,0.8,<class 'activation_function.Relu'>,<function ranged_uniform_initializer at 0x7f010d606ca0>,"(10, 10)"
0.3112629,0.00807513,0.13691872,0.05,0,0.8,<class 'activation_function.TanH'>,<function ranged_uniform_initializer at 0x7f010d606ca0>,"(25, 25)"
0.30494389,0.01351143,0.13385215,0.05,0,0.8,<class 'activation_function.Relu'>,<function ranged_uniform_initializer at 0x7f010d606ca0>,"(20, 20)"
0.31877766,0.01391527,0.14248626,0.05,0,0.8,<class 'activation_function.Relu'>,<function ranged_uniform_initializer at 0x7f010d606ca0>,"(25, 25)"
0.42984882,0.00754884,0.23875826,0.05,0,1.2,<class 'activation_function.TanH'>,<function xavier_initializer at 0x7f010d606a60>,"(30,)"
0.33024186,0.00957897,0.15057136,0.05,0,1.2,<class 'activation_function.TanH'>,<function xavier_initializer at 0x7f010d606a60>,"(10, 10)"
0.42984871,0.00754967,0.23931308,0.05,0,1.2,<class 'activation_function.Relu'>,<function xavier_initializer at 0x7f010d606a60>,"(30,)"
0.33880224,0.00450896,0.15446026,0.05,0,1.2,<class 'activation_function.TanH'>,<function xavier_initializer at 0x7f010d606a60>,"(20, 20)"
0.31444328,0.01472672,0.14411615,0.05,0,1.2,<class 'activation_function.Relu'>,<function xavier_initializer at 0x7f010d606a60>,"(10, 10)"
0.33847657,0.00348164,0.15187551,0.05,0,1.2,<class 'activation_function.TanH'>,<function xavier_initializer at 0x7f010d606a60>,"(25, 25)"
0.31827936,0.01687405,0.14369118,0.05,0,1.2,<class 'activation_function.Relu'>,<function xavier_initializer at 0x7f010d606a60>,"(20, 20)"
0.32411566,0.01455609,0.14614743,0.05,0,1.2,<class 'activation_function.Relu'>,<function xavier_initializer at 0x7f010d606a60>,"(25, 25)"
0.42984855,0.00754944,0.23897368,0.05,0,1.2,<class 'activation_function.TanH'>,<function ranged_uniform_initializer at 0x7f010d606ca0>,"(30,)"
0.31503069,0.00821276,0.14062053,0.05,0,1.2,<class 'activation_function.TanH'>,<function ranged_uniform_initializer at 0x7f010d606ca0>,"(10, 10)"
0.42984864,0.00755014,0.23887823,0.05,0,1.2,<class 'activation_function.Relu'>,<function ranged_uniform_initializer at 0x7f010d606ca0>,"(30,)"
0.31229838,0.00773736,0.13629036,0.05,0,1.2,<class 'activation_function.TanH'>,<function ranged_uniform_initializer at 0x7f010d606ca0>,"(20, 20)"
0.30968427,0.01295012,0.14325134,0.05,0,1.2,<class 'activation_function.Relu'>,<function ranged_uniform_initializer at 0x7f010d606ca0>,"(10, 10)"
0.32298617,0.00469421,0.14101429,0.05,0,1.2,<class 'activation_function.TanH'>,<function ranged_uniform_initializer at 0x7f010d606ca0>,"(25, 25)"
0.31858028,0.01660203,0.13845785,0.05,0,1.2,<class 'activation_function.Relu'>,<function ranged_uniform_initializer at 0x7f010d606ca0>,"(20, 20)"
0.31425752,0.01051871,0.13547856,0.05,0,1.2,<class 'activation_function.Relu'>,<function ranged_uniform_initializer at 0x7f010d606ca0>,"(25, 25)"
0.43137999,0.00909434,0.24215805,0.05,0.005,0.4,<class 'activation_function.TanH'>,<function xavier_initializer at 0x7f010d606a60>,"(30,)"
0.3861885,0.01009705,0.20471112,0.05,0.005,0.4,<class 'activation_function.TanH'>,<function xavier_initializer at 0x7f010d606a60>,"(10, 10)"
0.4313797,0.00909577,0.24256921,0.05,0.005,0.4,<class 'activation_function.Relu'>,<function xavier_initializer at 0x7f010d606a60>,"(30,)"
0.32857487,0.00973445,0.16368632,0.05,0.005,0.4,<class 'activation_function.Relu'>,<function xavier_initializer at 0x7f010d606a60>,"(10, 10)"
0.41055975,0.00985971,0.22477485,0.05,0.005,0.4,<class 'activation_function.TanH'>,<function xavier_initializer at 0x7f010d606a60>,"(20, 20)"
0.42050779,0.00975473,0.23386333,0.05,0.005,0.4,<class 'activation_function.TanH'>,<function xavier_initializer at 0x7f010d606a60>,"(25, 25)"
0.43137917,0.00909713,0.24229165,0.05,0.005,0.4,<class 'activation_function.TanH'>,<function ranged_uniform_initializer at 0x7f010d606ca0>,"(30,)"
0.3266649,0.01002477,0.16094037,0.05,0.005,0.4,<class 'activation_function.Relu'>,<function xavier_initializer at 0x7f010d606a60>,"(20, 20)"
0.33238926,0.00941665,0.1643612,0.05,0.005,0.4,<class 'activation_function.Relu'>,<function xavier_initializer at 0x7f010d606a60>,"(25, 25)"
0.37138789,0.00845411,0.19539466,0.05,0.005,0.4,<class 'activation_function.TanH'>,<function ranged_uniform_initializer at 0x7f010d606ca0>,"(10, 10)"
0.43137933,0.0090921,0.24279923,0.05,0.005,0.4,<class 'activation_function.Relu'>,<function ranged_uniform_initializer at 0x7f010d606ca0>,"(30,)"
0.38778712,0.00951288,0.20654444,0.05,0.005,0.4,<class 'activation_function.TanH'>,<function ranged_uniform_initializer at 0x7f010d606ca0>,"(20, 20)"
0.33731712,0.01069063,0.16834425,0.05,0.005,0.4,<class 'activation_function.Relu'>,<function ranged_uniform_initializer at 0x7f010d606ca0>,"(10, 10)"
0.3795199,0.00965481,0.1992155,0.05,0.005,0.4,<class 'activation_function.TanH'>,<function ranged_uniform_initializer at 0x7f010d606ca0>,"(25, 25)"
0.43063862,0.00883703,0.24161009,0.05,0.005,0.8,<class 'activation_function.TanH'>,<function xavier_initializer at 0x7f010d606a60>,"(30,)"
0.33263127,0.00974275,0.16553413,0.05,0.005,0.4,<class 'activation_function.Relu'>,<function ranged_uniform_initializer at 0x7f010d606ca0>,"(20, 20)"
0.33403482,0.01151287,0.16648893,0.05,0.005,0.4,<class 'activation_function.Relu'>,<function ranged_uniform_initializer at 0x7f010d606ca0>,"(25, 25)"
0.37900937,0.00955035,0.19794443,0.05,0.005,0.8,<class 'activation_function.TanH'>,<function xavier_initializer at 0x7f010d606a60>,"(10, 10)"
0.43063889,0.00883795,0.24089582,0.05,0.005,0.8,<class 'activation_function.Relu'>,<function xavier_initializer at 0x7f010d606a60>,"(30,)"
0.32148527,0.0103859,0.15616066,0.05,0.005,0.8,<class 'activation_function.Relu'>,<function xavier_initializer at 0x7f010d606a60>,"(10, 10)"
0.39515776,0.00979792,0.20960034,0.05,0.005,0.8,<class 'activation_function.TanH'>,<function xavier_initializer at 0x7f010d606a60>,"(20, 20)"
