accuracy_average_vl,accuracy_sd_vl,average_tr_error_best_vl,learning_rate,regularization,momentum,activation_hidden,weight_init,topology
0.31003376,0.0122303,0.14125754,0.08,0,0.4,<class 'activation_function.Relu'>,<function xavier_initializer at 0x000001D3C5EA8040>,"(10, 10)"
0.35587899,0.01004761,0.16757986,0.08,0,0.4,<class 'activation_function.TanH'>,<function xavier_initializer at 0x000001D3C5EA8040>,"(10, 10)"
0.31208114,0.01301842,0.13994148,0.08,0,0.4,<class 'activation_function.TanH'>,<function xavier_initializer at 0x000001D3C5EA8040>,"(5, 5, 5)"
0.3425228,0.00654318,0.15693436,0.08,0,0.4,<class 'activation_function.TanH'>,<function xavier_initializer at 0x000001D3C5EA8040>,"(20, 20)"
0.31256141,0.01482298,0.14079706,0.08,0,0.4,<class 'activation_function.TanH'>,<function xavier_initializer at 0x000001D3C5EA8040>,"(10, 5, 5)"
0.36955542,0.01332977,0.1833909,0.08,0,0.4,<class 'activation_function.Relu'>,<function xavier_initializer at 0x000001D3C5EA8040>,"(5, 5, 5)"
0.32207873,0.01372454,0.14504522,0.08,0,0.4,<class 'activation_function.Relu'>,<function xavier_initializer at 0x000001D3C5EA8040>,"(20, 20)"
0.3354791,0.01030908,0.15494565,0.08,0,0.4,<class 'activation_function.TanH'>,<function ranged_uniform_initializer at 0x000001D3C5EA8280>,"(10, 10)"
0.31829521,0.01391385,0.14385284,0.08,0,0.4,<class 'activation_function.Relu'>,<function xavier_initializer at 0x000001D3C5EA8040>,"(10, 5, 5)"
0.305361,0.01244736,0.13851822,0.08,0,0.4,<class 'activation_function.TanH'>,<function ranged_uniform_initializer at 0x000001D3C5EA8280>,"(5, 5, 5)"
0.31602847,0.01320296,0.14124151,0.08,0,0.4,<class 'activation_function.Relu'>,<function ranged_uniform_initializer at 0x000001D3C5EA8280>,"(10, 10)"
0.32198693,0.00581124,0.14102423,0.08,0,0.4,<class 'activation_function.TanH'>,<function ranged_uniform_initializer at 0x000001D3C5EA8280>,"(20, 20)"
0.31161852,0.00658974,0.14476771,0.08,0,0.4,<class 'activation_function.TanH'>,<function ranged_uniform_initializer at 0x000001D3C5EA8280>,"(10, 5, 5)"
0.31257713,0.01298013,0.14553308,0.08,0,0.4,<class 'activation_function.Relu'>,<function ranged_uniform_initializer at 0x000001D3C5EA8280>,"(5, 5, 5)"
0.30901983,0.01020538,0.13512576,0.08,0,0.4,<class 'activation_function.Relu'>,<function ranged_uniform_initializer at 0x000001D3C5EA8280>,"(20, 20)"
0.30731912,0.01664796,0.14243825,0.08,0,0.4,<class 'activation_function.Relu'>,<function ranged_uniform_initializer at 0x000001D3C5EA8280>,"(10, 5, 5)"
0.31151243,0.01169523,0.13802717,0.08,0,0.8,<class 'activation_function.TanH'>,<function xavier_initializer at 0x000001D3C5EA8040>,"(10, 10)"
0.30526515,0.0102645,0.13548374,0.08,0,0.8,<class 'activation_function.TanH'>,<function xavier_initializer at 0x000001D3C5EA8040>,"(5, 5, 5)"
0.33284998,0.00705587,0.15106075,0.08,0,0.8,<class 'activation_function.TanH'>,<function xavier_initializer at 0x000001D3C5EA8040>,"(20, 20)"
0.30558904,0.00918512,0.13441109,0.08,0,0.8,<class 'activation_function.TanH'>,<function xavier_initializer at 0x000001D3C5EA8040>,"(10, 5, 5)"
0.32071113,0.01268396,0.14831687,0.08,0,0.8,<class 'activation_function.Relu'>,<function xavier_initializer at 0x000001D3C5EA8040>,"(10, 10)"
0.30943553,0.01637079,0.1431017,0.08,0,0.8,<class 'activation_function.Relu'>,<function xavier_initializer at 0x000001D3C5EA8040>,"(5, 5, 5)"
0.31390119,0.01648964,0.13794674,0.08,0,0.8,<class 'activation_function.Relu'>,<function xavier_initializer at 0x000001D3C5EA8040>,"(20, 20)"
0.294765,0.01411266,0.13042146,0.08,0,0.8,<class 'activation_function.Relu'>,<function xavier_initializer at 0x000001D3C5EA8040>,"(10, 5, 5)"
0.32061102,0.00537771,0.14332593,0.08,0,0.8,<class 'activation_function.TanH'>,<function ranged_uniform_initializer at 0x000001D3C5EA8280>,"(10, 10)"
0.30324602,0.00983134,0.13312784,0.08,0,0.8,<class 'activation_function.TanH'>,<function ranged_uniform_initializer at 0x000001D3C5EA8280>,"(5, 5, 5)"
0.30157376,0.00831272,0.12807632,0.08,0,0.8,<class 'activation_function.TanH'>,<function ranged_uniform_initializer at 0x000001D3C5EA8280>,"(20, 20)"
0.30634221,0.01531282,0.13886961,0.08,0,0.8,<class 'activation_function.Relu'>,<function ranged_uniform_initializer at 0x000001D3C5EA8280>,"(10, 10)"
0.29306676,0.01361317,0.12661649,0.08,0,0.8,<class 'activation_function.TanH'>,<function ranged_uniform_initializer at 0x000001D3C5EA8280>,"(10, 5, 5)"
0.30119342,0.01307659,0.13503876,0.08,0,0.8,<class 'activation_function.Relu'>,<function ranged_uniform_initializer at 0x000001D3C5EA8280>,"(5, 5, 5)"
0.30622542,0.01433362,0.12994544,0.08,0,0.8,<class 'activation_function.Relu'>,<function ranged_uniform_initializer at 0x000001D3C5EA8280>,"(20, 20)"
0.31229471,0.00723277,0.13743111,0.08,0,1.0,<class 'activation_function.TanH'>,<function xavier_initializer at 0x000001D3C5EA8040>,"(10, 10)"
0.29911328,0.01743621,0.13717499,0.08,0,0.8,<class 'activation_function.Relu'>,<function ranged_uniform_initializer at 0x000001D3C5EA8280>,"(10, 5, 5)"
0.29132566,0.01077884,0.12472924,0.08,0,1.0,<class 'activation_function.TanH'>,<function xavier_initializer at 0x000001D3C5EA8040>,"(5, 5, 5)"
0.32619859,0.01003523,0.14435701,0.08,0,1.0,<class 'activation_function.TanH'>,<function xavier_initializer at 0x000001D3C5EA8040>,"(20, 20)"
0.30675783,0.01171779,0.13792936,0.08,0,1.0,<class 'activation_function.Relu'>,<function xavier_initializer at 0x000001D3C5EA8040>,"(10, 10)"
0.28461801,0.00934696,0.11944936,0.08,0,1.0,<class 'activation_function.TanH'>,<function xavier_initializer at 0x000001D3C5EA8040>,"(10, 5, 5)"
0.29503698,0.0140018,0.13174632,0.08,0,1.0,<class 'activation_function.Relu'>,<function xavier_initializer at 0x000001D3C5EA8040>,"(5, 5, 5)"
0.31185205,0.01292876,0.13873944,0.08,0,1.0,<class 'activation_function.Relu'>,<function xavier_initializer at 0x000001D3C5EA8040>,"(20, 20)"
0.30837286,0.01542502,0.14371235,0.08,0,1.0,<class 'activation_function.Relu'>,<function xavier_initializer at 0x000001D3C5EA8040>,"(10, 5, 5)"
0.30908497,0.00926064,0.13674796,0.08,0,1.0,<class 'activation_function.TanH'>,<function ranged_uniform_initializer at 0x000001D3C5EA8280>,"(10, 10)"
0.29274768,0.01481998,0.12842447,0.08,0,1.0,<class 'activation_function.TanH'>,<function ranged_uniform_initializer at 0x000001D3C5EA8280>,"(5, 5, 5)"
0.3067412,0.0127845,0.13254617,0.08,0,1.0,<class 'activation_function.TanH'>,<function ranged_uniform_initializer at 0x000001D3C5EA8280>,"(20, 20)"
0.30846918,0.01643317,0.1419778,0.08,0,1.0,<class 'activation_function.Relu'>,<function ranged_uniform_initializer at 0x000001D3C5EA8280>,"(10, 10)"
0.30112047,0.01052393,0.13336786,0.08,0,1.0,<class 'activation_function.TanH'>,<function ranged_uniform_initializer at 0x000001D3C5EA8280>,"(10, 5, 5)"
0.2972883,0.01140225,0.13436496,0.08,0,1.0,<class 'activation_function.Relu'>,<function ranged_uniform_initializer at 0x000001D3C5EA8280>,"(5, 5, 5)"
0.31409585,0.01344,0.13730882,0.08,0,1.0,<class 'activation_function.Relu'>,<function ranged_uniform_initializer at 0x000001D3C5EA8280>,"(20, 20)"
0.35147507,0.02275064,0.14635463,0.08,0,1.0,<class 'activation_function.Relu'>,<function ranged_uniform_initializer at 0x000001D3C5EA8280>,"(10, 5, 5)"
0.34828455,0.0089981,0.16315736,0.08,0.001,0.4,<class 'activation_function.TanH'>,<function xavier_initializer at 0x000001D3C5EA8040>,"(10, 10)"
0.31518155,0.00857345,0.14242459,0.08,0.001,0.4,<class 'activation_function.TanH'>,<function xavier_initializer at 0x000001D3C5EA8040>,"(5, 5, 5)"
0.33263949,0.00736843,0.15219031,0.08,0.001,0.4,<class 'activation_function.TanH'>,<function xavier_initializer at 0x000001D3C5EA8040>,"(20, 20)"
0.31302196,0.00982117,0.14072194,0.08,0.001,0.4,<class 'activation_function.TanH'>,<function xavier_initializer at 0x000001D3C5EA8040>,"(10, 5, 5)"
0.3080797,0.01657671,0.13964468,0.08,0.001,0.4,<class 'activation_function.Relu'>,<function xavier_initializer at 0x000001D3C5EA8040>,"(10, 10)"
0.34277275,0.01429444,0.16512368,0.08,0.001,0.4,<class 'activation_function.Relu'>,<function xavier_initializer at 0x000001D3C5EA8040>,"(5, 5, 5)"
0.30801151,0.01763823,0.14100521,0.08,0.001,0.4,<class 'activation_function.Relu'>,<function xavier_initializer at 0x000001D3C5EA8040>,"(20, 20)"
0.33984253,0.00818306,0.16434397,0.08,0.001,0.4,<class 'activation_function.Relu'>,<function xavier_initializer at 0x000001D3C5EA8040>,"(10, 5, 5)"
0.33161021,0.00975672,0.15501744,0.08,0.001,0.4,<class 'activation_function.TanH'>,<function ranged_uniform_initializer at 0x000001D3C5EA8280>,"(10, 10)"
0.31827151,0.00855483,0.1451578,0.08,0.001,0.4,<class 'activation_function.TanH'>,<function ranged_uniform_initializer at 0x000001D3C5EA8280>,"(5, 5, 5)"
0.33531192,0.00911703,0.15505567,0.08,0.001,0.4,<class 'activation_function.TanH'>,<function ranged_uniform_initializer at 0x000001D3C5EA8280>,"(20, 20)"
0.30860718,0.00862646,0.13972011,0.08,0.001,0.4,<class 'activation_function.TanH'>,<function ranged_uniform_initializer at 0x000001D3C5EA8280>,"(10, 5, 5)"
0.31540404,0.01190615,0.14609492,0.08,0.001,0.4,<class 'activation_function.Relu'>,<function ranged_uniform_initializer at 0x000001D3C5EA8280>,"(10, 10)"
0.30410686,0.01289585,0.13818364,0.08,0.001,0.4,<class 'activation_function.Relu'>,<function ranged_uniform_initializer at 0x000001D3C5EA8280>,"(5, 5, 5)"
0.30901187,0.01229331,0.13745406,0.08,0.001,0.4,<class 'activation_function.Relu'>,<function ranged_uniform_initializer at 0x000001D3C5EA8280>,"(20, 20)"
0.31971358,0.01211821,0.14872892,0.08,0.001,0.4,<class 'activation_function.Relu'>,<function ranged_uniform_initializer at 0x000001D3C5EA8280>,"(10, 5, 5)"
0.33464168,0.01038385,0.15582974,0.08,0.001,0.8,<class 'activation_function.TanH'>,<function xavier_initializer at 0x000001D3C5EA8040>,"(10, 10)"
0.30937123,0.01370962,0.13934365,0.08,0.001,0.8,<class 'activation_function.TanH'>,<function xavier_initializer at 0x000001D3C5EA8040>,"(5, 5, 5)"
0.34555128,0.00858266,0.16233672,0.08,0.001,0.8,<class 'activation_function.TanH'>,<function xavier_initializer at 0x000001D3C5EA8040>,"(20, 20)"
0.30287266,0.01296811,0.13748415,0.08,0.001,0.8,<class 'activation_function.Relu'>,<function xavier_initializer at 0x000001D3C5EA8040>,"(10, 10)"
0.30204025,0.00771925,0.13405297,0.08,0.001,0.8,<class 'activation_function.TanH'>,<function xavier_initializer at 0x000001D3C5EA8040>,"(10, 5, 5)"
0.32059419,0.01255982,0.14406314,0.08,0.001,0.8,<class 'activation_function.Relu'>,<function xavier_initializer at 0x000001D3C5EA8040>,"(5, 5, 5)"
0.30387846,0.01222927,0.13548552,0.08,0.001,0.8,<class 'activation_function.Relu'>,<function xavier_initializer at 0x000001D3C5EA8040>,"(20, 20)"
0.30489729,0.01336111,0.14096255,0.08,0.001,0.8,<class 'activation_function.Relu'>,<function xavier_initializer at 0x000001D3C5EA8040>,"(10, 5, 5)"
0.31401742,0.00825055,0.14197405,0.08,0.001,0.8,<class 'activation_function.TanH'>,<function ranged_uniform_initializer at 0x000001D3C5EA8280>,"(10, 10)"
0.29876569,0.01165007,0.13262549,0.08,0.001,0.8,<class 'activation_function.TanH'>,<function ranged_uniform_initializer at 0x000001D3C5EA8280>,"(5, 5, 5)"
0.3295488,0.01234366,0.15059847,0.08,0.001,0.8,<class 'activation_function.TanH'>,<function ranged_uniform_initializer at 0x000001D3C5EA8280>,"(20, 20)"
0.29908753,0.01051648,0.13389525,0.08,0.001,0.8,<class 'activation_function.TanH'>,<function ranged_uniform_initializer at 0x000001D3C5EA8280>,"(10, 5, 5)"
0.30642124,0.012509,0.13919803,0.08,0.001,0.8,<class 'activation_function.Relu'>,<function ranged_uniform_initializer at 0x000001D3C5EA8280>,"(10, 10)"
0.30401382,0.01607513,0.14217241,0.08,0.001,0.8,<class 'activation_function.Relu'>,<function ranged_uniform_initializer at 0x000001D3C5EA8280>,"(5, 5, 5)"
0.29895016,0.01313965,0.13091646,0.08,0.001,0.8,<class 'activation_function.Relu'>,<function ranged_uniform_initializer at 0x000001D3C5EA8280>,"(20, 20)"
0.29056514,0.01518904,0.13372806,0.08,0.001,0.8,<class 'activation_function.Relu'>,<function ranged_uniform_initializer at 0x000001D3C5EA8280>,"(10, 5, 5)"
0.32390084,0.00863179,0.14791883,0.08,0.001,1.0,<class 'activation_function.TanH'>,<function xavier_initializer at 0x000001D3C5EA8040>,"(10, 10)"
0.2920374,0.01081275,0.12725853,0.08,0.001,1.0,<class 'activation_function.TanH'>,<function xavier_initializer at 0x000001D3C5EA8040>,"(5, 5, 5)"
0.33182561,0.00570644,0.15214954,0.08,0.001,1.0,<class 'activation_function.TanH'>,<function xavier_initializer at 0x000001D3C5EA8040>,"(20, 20)"
0.3052705,0.0095223,0.13571118,0.08,0.001,1.0,<class 'activation_function.TanH'>,<function xavier_initializer at 0x000001D3C5EA8040>,"(10, 5, 5)"
0.30782738,0.01317664,0.13889864,0.08,0.001,1.0,<class 'activation_function.Relu'>,<function xavier_initializer at 0x000001D3C5EA8040>,"(10, 10)"
0.29513612,0.01374034,0.13486896,0.08,0.001,1.0,<class 'activation_function.Relu'>,<function xavier_initializer at 0x000001D3C5EA8040>,"(5, 5, 5)"
0.30182903,0.01437159,0.13522064,0.08,0.001,1.0,<class 'activation_function.Relu'>,<function xavier_initializer at 0x000001D3C5EA8040>,"(20, 20)"
0.29361469,0.01334978,0.13099284,0.08,0.001,1.0,<class 'activation_function.Relu'>,<function xavier_initializer at 0x000001D3C5EA8040>,"(10, 5, 5)"
0.32497132,0.00844838,0.15007646,0.08,0.001,1.0,<class 'activation_function.TanH'>,<function ranged_uniform_initializer at 0x000001D3C5EA8280>,"(10, 10)"
0.29698082,0.01101393,0.12833846,0.08,0.001,1.0,<class 'activation_function.TanH'>,<function ranged_uniform_initializer at 0x000001D3C5EA8280>,"(5, 5, 5)"
0.31298232,0.01124917,0.13999866,0.08,0.001,1.0,<class 'activation_function.TanH'>,<function ranged_uniform_initializer at 0x000001D3C5EA8280>,"(20, 20)"
0.29479479,0.01338815,0.12981838,0.08,0.001,1.0,<class 'activation_function.TanH'>,<function ranged_uniform_initializer at 0x000001D3C5EA8280>,"(10, 5, 5)"
0.30313221,0.01436641,0.13519699,0.08,0.001,1.0,<class 'activation_function.Relu'>,<function ranged_uniform_initializer at 0x000001D3C5EA8280>,"(10, 10)"
0.42198124,0.06584274,0.20065327,0.08,0.001,1.0,<class 'activation_function.Relu'>,<function ranged_uniform_initializer at 0x000001D3C5EA8280>,"(5, 5, 5)"
0.29943965,0.01559129,0.13536137,0.08,0.001,1.0,<class 'activation_function.Relu'>,<function ranged_uniform_initializer at 0x000001D3C5EA8280>,"(20, 20)"
0.30361747,0.0124723,0.13798161,0.08,0.001,1.0,<class 'activation_function.Relu'>,<function ranged_uniform_initializer at 0x000001D3C5EA8280>,"(10, 5, 5)"
0.37289306,0.00729143,0.18552826,0.08,0.0025,0.4,<class 'activation_function.TanH'>,<function xavier_initializer at 0x000001D3C5EA8040>,"(10, 10)"
0.31463399,0.0096874,0.14490921,0.08,0.0025,0.4,<class 'activation_function.TanH'>,<function xavier_initializer at 0x000001D3C5EA8040>,"(5, 5, 5)"
0.35537369,0.00743426,0.17224229,0.08,0.0025,0.4,<class 'activation_function.TanH'>,<function xavier_initializer at 0x000001D3C5EA8040>,"(20, 20)"
0.32939201,0.00966393,0.15567699,0.08,0.0025,0.4,<class 'activation_function.TanH'>,<function xavier_initializer at 0x000001D3C5EA8040>,"(10, 5, 5)"
0.30427704,0.0141067,0.14059519,0.08,0.0025,0.4,<class 'activation_function.Relu'>,<function xavier_initializer at 0x000001D3C5EA8040>,"(10, 10)"
0.30293457,0.01340579,0.14224106,0.08,0.0025,0.4,<class 'activation_function.Relu'>,<function xavier_initializer at 0x000001D3C5EA8040>,"(5, 5, 5)"
0.30465321,0.01291118,0.14008875,0.08,0.0025,0.4,<class 'activation_function.Relu'>,<function xavier_initializer at 0x000001D3C5EA8040>,"(20, 20)"
0.29696982,0.01314504,0.13642051,0.08,0.0025,0.4,<class 'activation_function.Relu'>,<function xavier_initializer at 0x000001D3C5EA8040>,"(10, 5, 5)"
0.33683034,0.01041138,0.16093733,0.08,0.0025,0.4,<class 'activation_function.TanH'>,<function ranged_uniform_initializer at 0x000001D3C5EA8280>,"(10, 10)"
0.31947633,0.00734562,0.14973891,0.08,0.0025,0.4,<class 'activation_function.TanH'>,<function ranged_uniform_initializer at 0x000001D3C5EA8280>,"(5, 5, 5)"
