accuracy_average_vl,accuracy_sd_vl,average_tr_error_best_vl,learning_rate,regularization,momentum,activation_hidden,weight_init,topology
0.30392738,0.01505663,0.13873093,0.08,0,0.4,<class 'activation_function.Relu'>,<function ranged_uniform_initializer_3 at 0x000002B4FAF38310>,"(10, 10)"
0.31780116,0.00908953,0.14411467,0.08,0,0.4,<class 'activation_function.TanH'>,<function ranged_uniform_initializer_3 at 0x000002B4FAF38310>,"(10, 10)"
0.29830127,0.01187817,0.13038397,0.08,0,0.4,<class 'activation_function.TanH'>,<function ranged_uniform_initializer_3 at 0x000002B4FAF38310>,"(5, 5, 5)"
0.29477765,0.01024511,0.12967471,0.08,0,0.4,<class 'activation_function.TanH'>,<function ranged_uniform_initializer_3 at 0x000002B4FAF38310>,"(10, 5, 5)"
0.3572271,0.00628203,0.1718645,0.08,0,0.4,<class 'activation_function.TanH'>,<function ranged_uniform_initializer_3 at 0x000002B4FAF38310>,"(20, 20)"
0.33000646,0.01389834,0.15734013,0.08,0,0.4,<class 'activation_function.Relu'>,<function ranged_uniform_initializer_3 at 0x000002B4FAF38310>,"(5, 5, 5)"
0.30883716,0.01504085,0.13582369,0.08,0,0.4,<class 'activation_function.Relu'>,<function ranged_uniform_initializer_3 at 0x000002B4FAF38310>,"(20, 20)"
0.34158997,0.00693137,0.15595899,0.08,0,0.4,<class 'activation_function.TanH'>,<function ranged_uniform_initializer at 0x000002B4FAF38280>,"(10, 10)"
0.30334878,0.01555353,0.14073353,0.08,0,0.4,<class 'activation_function.Relu'>,<function ranged_uniform_initializer_3 at 0x000002B4FAF38310>,"(10, 5, 5)"
0.29951351,0.01387485,0.13079726,0.08,0,0.4,<class 'activation_function.TanH'>,<function ranged_uniform_initializer at 0x000002B4FAF38280>,"(5, 5, 5)"
0.29850265,0.01399541,0.13609925,0.08,0,0.4,<class 'activation_function.Relu'>,<function ranged_uniform_initializer at 0x000002B4FAF38280>,"(10, 10)"
0.31425609,0.00899655,0.13712908,0.08,0,0.4,<class 'activation_function.TanH'>,<function ranged_uniform_initializer at 0x000002B4FAF38280>,"(20, 20)"
0.29907788,0.00832697,0.13323689,0.08,0,0.4,<class 'activation_function.TanH'>,<function ranged_uniform_initializer at 0x000002B4FAF38280>,"(10, 5, 5)"
0.33731176,0.00744049,0.15780138,0.08,0,0.4,<class 'activation_function.Relu'>,<function ranged_uniform_initializer at 0x000002B4FAF38280>,"(5, 5, 5)"
0.31212731,0.01478873,0.13922064,0.08,0,0.4,<class 'activation_function.Relu'>,<function ranged_uniform_initializer at 0x000002B4FAF38280>,"(20, 20)"
0.32201035,0.00982744,0.1448418,0.08,0,0.8,<class 'activation_function.TanH'>,<function ranged_uniform_initializer_3 at 0x000002B4FAF38310>,"(10, 10)"
0.32013971,0.01201629,0.14649097,0.08,0,0.4,<class 'activation_function.Relu'>,<function ranged_uniform_initializer at 0x000002B4FAF38280>,"(10, 5, 5)"
0.30046438,0.01511614,0.13289959,0.08,0,0.8,<class 'activation_function.TanH'>,<function ranged_uniform_initializer_3 at 0x000002B4FAF38310>,"(5, 5, 5)"
0.31307913,0.01107176,0.14129597,0.08,0,0.8,<class 'activation_function.TanH'>,<function ranged_uniform_initializer_3 at 0x000002B4FAF38310>,"(20, 20)"
0.30382174,0.01088762,0.13597377,0.08,0,0.8,<class 'activation_function.TanH'>,<function ranged_uniform_initializer_3 at 0x000002B4FAF38310>,"(10, 5, 5)"
0.30127237,0.01210448,0.13433768,0.08,0,0.8,<class 'activation_function.Relu'>,<function ranged_uniform_initializer_3 at 0x000002B4FAF38310>,"(10, 10)"
0.29705993,0.01461919,0.13593087,0.08,0,0.8,<class 'activation_function.Relu'>,<function ranged_uniform_initializer_3 at 0x000002B4FAF38310>,"(5, 5, 5)"
0.30217261,0.01410131,0.132063,0.08,0,0.8,<class 'activation_function.Relu'>,<function ranged_uniform_initializer_3 at 0x000002B4FAF38310>,"(20, 20)"
0.32564456,0.00873963,0.14659408,0.08,0,0.8,<class 'activation_function.TanH'>,<function ranged_uniform_initializer at 0x000002B4FAF38280>,"(10, 10)"
0.30058197,0.0156173,0.13463777,0.08,0,0.8,<class 'activation_function.Relu'>,<function ranged_uniform_initializer_3 at 0x000002B4FAF38310>,"(10, 5, 5)"
0.29471691,0.00678087,0.12916604,0.08,0,0.8,<class 'activation_function.TanH'>,<function ranged_uniform_initializer at 0x000002B4FAF38280>,"(5, 5, 5)"
0.30863257,0.00993746,0.13762686,0.08,0,0.8,<class 'activation_function.Relu'>,<function ranged_uniform_initializer at 0x000002B4FAF38280>,"(10, 10)"
0.30975087,0.01201114,0.13326117,0.08,0,0.8,<class 'activation_function.TanH'>,<function ranged_uniform_initializer at 0x000002B4FAF38280>,"(20, 20)"
0.29350197,0.01299285,0.13048203,0.08,0,0.8,<class 'activation_function.TanH'>,<function ranged_uniform_initializer at 0x000002B4FAF38280>,"(10, 5, 5)"
0.48143492,0.03361034,0.17037011,0.08,0,0.8,<class 'activation_function.Relu'>,<function ranged_uniform_initializer at 0x000002B4FAF38280>,"(5, 5, 5)"
0.31839865,0.0150951,0.13654735,0.08,0,0.8,<class 'activation_function.Relu'>,<function ranged_uniform_initializer at 0x000002B4FAF38280>,"(20, 20)"
