accuracy_average_vl,accuracy_sd_vl,average_tr_error_best_vl,learning_rate,regularization,momentum,activation_hidden,weight_init,topology
0.33429363,0.0089297,0.15353576,0.08,0,0.6,<class 'activation_function.TanH'>,<function xavier_initializer at 0x000001EF57CDCC10>,"(10,)"
0.33568746,0.0095157,0.15423007,0.08,0,0.6,<class 'activation_function.TanH'>,<function xavier_initializer at 0x000001EF57CDCC10>,"(20,)"
0.29256992,0.0132919,0.12917265,0.08,0,0.6,<class 'activation_function.TanH'>,<function xavier_initializer at 0x000001EF57CDCC10>,"(5, 5)"
0.30429946,0.00968207,0.13278126,0.08,0,0.6,<class 'activation_function.TanH'>,<function xavier_initializer at 0x000001EF57CDCC10>,"(5, 10)"
0.28175591,0.01003192,0.11488386,0.08,0,0.6,<class 'activation_function.TanH'>,<function xavier_initializer at 0x000001EF57CDCC10>,"(10, 5, 5)"
0.3151377,0.01423685,0.14529153,0.08,0,0.6,<class 'activation_function.Relu'>,<function xavier_initializer at 0x000001EF57CDCC10>,"(10,)"
0.31573148,0.01501765,0.13737256,0.08,0,0.6,<class 'activation_function.Relu'>,<function xavier_initializer at 0x000001EF57CDCC10>,"(20,)"
0.29943985,0.01543194,0.13789087,0.08,0,0.6,<class 'activation_function.Relu'>,<function xavier_initializer at 0x000001EF57CDCC10>,"(5, 5)"
0.31253785,0.01288558,0.14451839,0.08,0,0.6,<class 'activation_function.Relu'>,<function xavier_initializer at 0x000001EF57CDCC10>,"(5, 10)"
0.3095696,0.0129171,0.13293422,0.08,0,0.6,<class 'activation_function.Relu'>,<function xavier_initializer at 0x000001EF57CDCC10>,"(10, 5, 5)"
0.32265053,0.00836429,0.1449502,0.08,0,0.6,<class 'activation_function.TanH'>,<function ranged_uniform_initializer at 0x000001EF57CDCE50>,"(10,)"
0.30349383,0.00973457,0.13027785,0.08,0,0.6,<class 'activation_function.TanH'>,<function ranged_uniform_initializer at 0x000001EF57CDCE50>,"(20,)"
0.3098672,0.01478734,0.13704559,0.08,0,0.6,<class 'activation_function.TanH'>,<function ranged_uniform_initializer at 0x000001EF57CDCE50>,"(5, 5)"
0.30309166,0.01286595,0.13440458,0.08,0,0.6,<class 'activation_function.TanH'>,<function ranged_uniform_initializer at 0x000001EF57CDCE50>,"(5, 10)"
0.29926544,0.00804834,0.12817472,0.08,0,0.6,<class 'activation_function.TanH'>,<function ranged_uniform_initializer at 0x000001EF57CDCE50>,"(10, 5, 5)"
0.31362252,0.0136177,0.14150609,0.08,0,0.6,<class 'activation_function.Relu'>,<function ranged_uniform_initializer at 0x000001EF57CDCE50>,"(10,)"
0.3011087,0.01408678,0.13754616,0.08,0,0.6,<class 'activation_function.Relu'>,<function ranged_uniform_initializer at 0x000001EF57CDCE50>,"(5, 5)"
0.30208064,0.01442997,0.13345751,0.08,0,0.6,<class 'activation_function.Relu'>,<function ranged_uniform_initializer at 0x000001EF57CDCE50>,"(20,)"
0.32695745,0.00879334,0.14732777,0.08,0,0.6,<class 'activation_function.Relu'>,<function ranged_uniform_initializer at 0x000001EF57CDCE50>,"(5, 10)"
0.32225653,0.00698866,0.14591481,0.08,0,0.8,<class 'activation_function.TanH'>,<function xavier_initializer at 0x000001EF57CDCC10>,"(10,)"
0.34635429,0.056028,0.14006853,0.08,0,0.6,<class 'activation_function.Relu'>,<function ranged_uniform_initializer at 0x000001EF57CDCE50>,"(10, 5, 5)"
0.29782322,0.01178052,0.13161125,0.08,0,0.8,<class 'activation_function.TanH'>,<function xavier_initializer at 0x000001EF57CDCC10>,"(5, 5)"
0.30805732,0.00828952,0.13337587,0.08,0,0.8,<class 'activation_function.TanH'>,<function xavier_initializer at 0x000001EF57CDCC10>,"(20,)"
0.32339784,0.01239635,0.14741441,0.08,0,0.8,<class 'activation_function.Relu'>,<function xavier_initializer at 0x000001EF57CDCC10>,"(10,)"
0.29191604,0.00908639,0.12560831,0.08,0,0.8,<class 'activation_function.TanH'>,<function xavier_initializer at 0x000001EF57CDCC10>,"(5, 10)"
0.28086159,0.01058431,0.11767571,0.08,0,0.8,<class 'activation_function.TanH'>,<function xavier_initializer at 0x000001EF57CDCC10>,"(10, 5, 5)"
0.30424979,0.01624953,0.14008694,0.08,0,0.8,<class 'activation_function.Relu'>,<function xavier_initializer at 0x000001EF57CDCC10>,"(5, 5)"
0.31082403,0.01400425,0.13795188,0.08,0,0.8,<class 'activation_function.Relu'>,<function xavier_initializer at 0x000001EF57CDCC10>,"(20,)"
0.30622148,0.01716176,0.14309804,0.08,0,0.8,<class 'activation_function.Relu'>,<function xavier_initializer at 0x000001EF57CDCC10>,"(5, 10)"
0.3017503,0.00815945,0.13184503,0.08,0,0.8,<class 'activation_function.TanH'>,<function ranged_uniform_initializer at 0x000001EF57CDCE50>,"(10,)"
