accuracy_average_vl,accuracy_sd_vl,average_tr_error_best_vl,learning_rate,regularization,momentum,activation_hidden,weight_init,topology
0.09982608,0.0040874,0.01304512,0.1,0.0005,0.6,<class 'activation_function.Relu'>,<function xavier_initializer at 0x00000142C5412C10>,"(30, 20)"
0.10307375,0.00296611,0.01411126,0.1,0.0005,0.6,<class 'activation_function.TanH'>,<function xavier_initializer at 0x00000142C5412C10>,"(15, 15)"
0.10060054,0.0020664,0.01403881,0.1,0.0005,0.6,<class 'activation_function.TanH'>,<function xavier_initializer at 0x00000142C5412C10>,"(10, 5, 5)"
0.1041338,0.00229059,0.01413741,0.1,0.0005,0.6,<class 'activation_function.TanH'>,<function xavier_initializer at 0x00000142C5412C10>,"(20, 20)"
0.09826984,0.00120398,0.01291434,0.1,0.0005,0.6,<class 'activation_function.TanH'>,<function xavier_initializer at 0x00000142C5412C10>,"(30, 20)"
0.10426504,0.00113292,0.01377551,0.1,0.0005,0.6,<class 'activation_function.Relu'>,<function xavier_initializer at 0x00000142C5412C10>,"(20, 20)"
0.10271515,0.00379246,0.0143776,0.1,0.0005,0.6,<class 'activation_function.Relu'>,<function xavier_initializer at 0x00000142C5412C10>,"(15, 15)"
0.11637353,0.00325632,0.01806729,0.1,0.0005,0.6,<class 'activation_function.Relu'>,<function xavier_initializer at 0x00000142C5412C10>,"(10, 5, 5)"
0.09434521,0.00214894,0.01208565,0.1,0.0005,0.6,<class 'activation_function.TanH'>,<function ranged_uniform_initializer at 0x00000142C5412E50>,"(20, 20)"
0.0948673,0.00252097,0.01183573,0.1,0.0005,0.6,<class 'activation_function.TanH'>,<function ranged_uniform_initializer at 0x00000142C5412E50>,"(30, 20)"
0.09803938,0.00152989,0.0131142,0.1,0.0005,0.6,<class 'activation_function.TanH'>,<function ranged_uniform_initializer at 0x00000142C5412E50>,"(10, 5, 5)"
0.09904023,0.00208983,0.01228678,0.1,0.0005,0.6,<class 'activation_function.Relu'>,<function ranged_uniform_initializer at 0x00000142C5412E50>,"(30, 20)"
0.09460039,0.00257274,0.01230388,0.1,0.0005,0.6,<class 'activation_function.TanH'>,<function ranged_uniform_initializer at 0x00000142C5412E50>,"(15, 15)"
0.10821834,0.00307115,0.01482714,0.1,0.0005,0.6,<class 'activation_function.Relu'>,<function ranged_uniform_initializer at 0x00000142C5412E50>,"(20, 20)"
0.11509658,0.00312235,0.01780118,0.1,0.0005,0.6,<class 'activation_function.Relu'>,<function ranged_uniform_initializer at 0x00000142C5412E50>,"(10, 5, 5)"
0.10292268,0.00167415,0.01380787,0.1,0.0005,0.6,<class 'activation_function.Relu'>,<function ranged_uniform_initializer at 0x00000142C5412E50>,"(15, 15)"
0.09926318,0.00296526,0.01313958,0.1,0.0005,0.8,<class 'activation_function.TanH'>,<function xavier_initializer at 0x00000142C5412C10>,"(20, 20)"
0.10150715,0.00188376,0.0134774,0.1,0.0005,0.8,<class 'activation_function.TanH'>,<function xavier_initializer at 0x00000142C5412C10>,"(30, 20)"
0.09606544,0.00147803,0.01316515,0.1,0.0005,0.8,<class 'activation_function.TanH'>,<function xavier_initializer at 0x00000142C5412C10>,"(10, 5, 5)"
0.10001946,0.00284371,0.01333921,0.1,0.0005,0.8,<class 'activation_function.TanH'>,<function xavier_initializer at 0x00000142C5412C10>,"(15, 15)"
