accuracy_average_vl,accuracy_sd_vl,average_tr_error_best_vl,learning_rate,regularization,momentum,activation_hidden,weight_init,topology
0.31626821,0.01308621,0.14321381,0.08,0,0.4,<class 'activation_function.Relu'>,<function xavier_initializer at 0x000001E11F328040>,"(10, 10)"
0.33108775,0.00551793,0.14937402,0.08,0,0.4,<class 'activation_function.TanH'>,<function xavier_initializer at 0x000001E11F328040>,"(10, 10)"
0.30079379,0.01001037,0.13029187,0.08,0,0.4,<class 'activation_function.TanH'>,<function xavier_initializer at 0x000001E11F328040>,"(5, 5, 5)"
0.33762998,0.00758911,0.15432605,0.08,0,0.4,<class 'activation_function.TanH'>,<function xavier_initializer at 0x000001E11F328040>,"(20, 20)"
0.34008777,0.00364828,0.15436622,0.08,0,0.4,<class 'activation_function.TanH'>,<function xavier_initializer at 0x000001E11F328040>,"(25, 25)"
0.30411802,0.0152166,0.13691069,0.08,0,0.4,<class 'activation_function.Relu'>,<function xavier_initializer at 0x000001E11F328040>,"(5, 5, 5)"
0.31492807,0.01020795,0.13841337,0.08,0,0.4,<class 'activation_function.Relu'>,<function xavier_initializer at 0x000001E11F328040>,"(20, 20)"
0.31142895,0.01464158,0.13909311,0.08,0,0.4,<class 'activation_function.Relu'>,<function xavier_initializer at 0x000001E11F328040>,"(25, 25)"
0.315399,0.00893007,0.14004667,0.08,0,0.4,<class 'activation_function.TanH'>,<function ranged_uniform_initializer at 0x000001E11F328280>,"(10, 10)"
0.31378526,0.01432768,0.13913062,0.08,0,0.4,<class 'activation_function.TanH'>,<function ranged_uniform_initializer at 0x000001E11F328280>,"(5, 5, 5)"
0.3170746,0.0135973,0.14249257,0.08,0,0.4,<class 'activation_function.Relu'>,<function ranged_uniform_initializer at 0x000001E11F328280>,"(10, 10)"
0.31160854,0.00961642,0.13596371,0.08,0,0.4,<class 'activation_function.TanH'>,<function ranged_uniform_initializer at 0x000001E11F328280>,"(20, 20)"
0.30985811,0.00978278,0.13417535,0.08,0,0.4,<class 'activation_function.TanH'>,<function ranged_uniform_initializer at 0x000001E11F328280>,"(25, 25)"
0.30937108,0.01385581,0.13844942,0.08,0,0.4,<class 'activation_function.Relu'>,<function ranged_uniform_initializer at 0x000001E11F328280>,"(5, 5, 5)"
0.31327807,0.01439473,0.13327912,0.08,0,0.4,<class 'activation_function.Relu'>,<function ranged_uniform_initializer at 0x000001E11F328280>,"(20, 20)"
0.31168136,0.0149397,0.13567708,0.08,0,0.4,<class 'activation_function.Relu'>,<function ranged_uniform_initializer at 0x000001E11F328280>,"(25, 25)"
